,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
D341 Med,0.7602937,1.7776588,-0.7702211,3.1302018,1.43065,-0.8880799,0.3109689,0.75340074,1.9374325,-0.2913223,0.1585151,-1.6049657,0.034579404,-0.17067611,-0.16465442,-0.5679219,1.8469677,1.5098817,-0.5130779
GaMG,-0.14024583,-1.1310736,-0.041091114,-1.1295575,-0.3124563,-0.48924276,1.352936,0.4175649,-0.10988607,-0.026368909,0.31134707,-0.08763672,-1.2241831,0.13404797,-0.48573327,-0.09907125,-0.1665625,-0.012234427,-0.029665008
SF767,1.1454538,0.93337744,-0.9314013,2.0323193,0.33898234,-1.4545689,-1.0946287,-1.1244202,-0.16379234,1.9907992,-1.0503383,-2.489883,-0.16697429,-0.6960465,0.35462528,-0.82396746,2.4289093,0.5956643,0.15977451
NCI-H1299,-0.2459481,-0.55237645,0.04125672,-0.526606,-0.123920605,-0.3347692,0.76982975,0.22197843,-0.14927444,-0.10229592,0.15235293,0.15784267,-0.3807618,-0.022709765,-0.16096695,-0.007374957,-0.07442686,-0.054856725,0.15371372
HCC95,0.4780402,0.36405528,-0.062797025,0.8619437,0.33027616,-0.75415707,-0.3397463,-0.43991375,-0.21393664,0.4558176,-0.20560911,-0.80973643,-0.12533197,-0.34174863,0.19699058,-0.2203663,0.92231524,-0.17761266,0.0795757
SNU-1077,0.24312118,-0.4219712,-0.7002389,-0.054633945,0.18758099,-0.64217865,0.60409164,-0.34021765,-0.096453354,0.74369407,-0.66782165,-1.1644703,-0.5155585,0.059830718,-0.18017164,-0.52314085,0.54504734,0.7770759,-0.044877127
LS513,1.0665663,2.4577775,0.41818228,3.6380663,0.3123895,-1.1449661,-1.8502501,-0.71560293,-0.099122256,2.1728544,-1.2811428,-2.253425,1.001532,-0.44645876,-0.59019065,-0.5326518,2.0111513,1.345953,0.01379627
COLO 677,-0.78497803,1.2457479,0.90803874,-0.47814304,0.93208826,2.4328556,0.5930788,1.4998429,-0.7042239,-3.4676418,-0.5466435,2.3290226,1.7999358,-1.0898101,-1.0627241,3.69187,-2.3864167,-0.77402866,-0.41202456
SNU-478,0.11711261,0.9122666,-0.16950892,1.1413382,0.4142376,0.004252389,-0.70060736,-0.7938394,-0.38800108,0.8564992,-1.1588657,-1.4905826,0.6328043,-0.25885054,-0.5228188,-0.23266277,0.6721492,0.29802263,0.11766156
786-O,-0.17609254,-0.97070533,-0.17042659,-0.74308777,-0.0032950742,-0.8197707,1.2386645,0.23945239,-0.12281568,0.45955375,-0.07352146,-0.82494473,-0.93678313,0.20957084,-0.37243092,-0.5171522,0.2741825,0.3511984,0.2914066
COLO 320,-0.19807938,0.2966085,0.7655367,0.457716,0.38044128,0.37845019,0.42791614,0.5150281,-0.28327793,-0.944376,-0.24708903,0.51029634,-0.36175895,-0.019744448,-0.78150845,0.59517956,-0.22033265,-0.23295924,0.54917324
SW1417,0.85145533,1.5016034,-0.0647992,2.0808089,0.60592735,-0.62322533,-1.1874375,-0.49798465,0.07131985,1.1933293,-0.87306714,-1.8308146,0.8628838,-0.100657076,-0.10216523,-0.17542802,1.2099,1.2520084,-0.092908785
NCI-H2286,0.17106749,-0.20829259,0.019521866,-0.34706348,-0.20355205,-0.43441886,0.8329072,0.124784894,-0.25424895,0.15783417,0.23897693,-0.20456263,-0.6777735,0.0046075117,0.06954217,-0.06699474,0.076885045,0.055411384,0.20941728
LN-464,0.2274845,-0.9842447,-0.19828273,-1.4168036,-0.1099693,-0.769899,1.1913679,-0.021288106,-0.1374087,0.68830967,0.17802013,-0.38851967,-2.0971603,0.6062359,-0.19416514,-0.96673435,-0.11920058,0.21653017,0.40017936
VMRC-LCP,0.297085,0.34419924,-0.18480366,0.45471823,0.2528039,0.083295405,-0.49998665,-0.6825054,-0.61379147,0.54876316,-0.866663,-0.8213603,0.36990318,-0.4395693,-0.38695824,0.012138084,0.5790614,-0.14371073,-0.09903592
COLO 792,0.12224391,-0.8545401,-0.06397908,-1.2980443,0.06648119,-0.48900303,0.8924381,-0.05369456,-0.14709546,0.6794478,0.060342334,-0.4075272,-1.7273934,0.53662276,-0.2881881,-0.9755571,0.04782062,0.28240544,0.4590254
DMS 153,0.7691112,2.2612054,0.27232385,4.2412663,1.4728146,-1.7497479,-0.19980773,0.6137476,2.2099926,0.6862907,0.28854468,-2.0456054,0.7095893,0.060108766,0.0757447,-0.89969563,1.9201174,1.2717268,-0.28746915
HCC1195,0.35841277,0.7652285,0.11644803,1.101801,0.13412143,-0.43878704,-0.64426243,-0.89943886,-0.17083506,1.5607016,-0.7578828,-1.6634519,0.030133747,-0.29658946,-0.18115489,-0.6613988,0.8622695,0.7065259,0.41163468
PaTu 8988t,0.101455145,-0.109913334,-0.0057075247,-0.30123562,-0.31396174,-0.1525326,0.36658546,0.030968845,-0.23750438,0.07718482,-0.07665507,0.052373182,-0.38129687,0.010902952,-0.08993155,0.09503575,-0.047121745,0.15137412,0.11447878
ACC-MESO-1,0.039256897,-0.86539453,-0.07944499,-0.9573888,-0.2109232,-0.39246708,1.1372974,0.48804188,-0.09075459,-0.07184054,0.24426496,0.06646061,-0.87550557,0.009886745,-0.48967916,0.04608977,-0.11111937,-0.018752426,0.06299605
TC-32,1.4004202,0.54877543,-0.97621363,1.9411857,0.61785215,-1.8496213,0.13135481,0.42843902,0.69581187,1.4073423,0.81400174,-1.9086319,-0.760647,-0.0377232,0.9311752,-0.8573525,2.2300038,0.98371917,-0.22940463
NCI-H2405,0.16363987,-0.78926635,-0.18865901,-0.41839495,0.061321426,-0.3181228,0.77841014,0.07712233,-0.19180009,0.3778931,-0.04778032,-0.48819453,-0.67760116,-0.061507195,-0.39948398,-0.19271275,0.39907447,0.0824912,-0.04575348
GCIY,0.06244374,-0.040567786,-0.30091244,-0.0518416,0.20383857,-0.1850254,0.25317463,-0.042200796,-0.09817116,0.16479276,-0.2411188,-0.66439235,-0.30259642,0.060140792,-0.06628844,0.020959964,-0.020277623,0.50634277,-0.09097269
RD-ES,0.3996193,0.3308488,-0.25345543,0.8693862,0.6331651,-0.23111187,0.49488926,0.83561337,0.391604,-0.5380147,0.18155035,0.12841469,-0.30381283,-0.10727291,-0.039953273,0.35137838,0.14837542,0.100700915,-0.21655016
A-673,0.3050105,-0.17853215,-0.24040069,0.056707688,0.26339877,0.0026361793,0.89197284,0.95448744,0.024053723,-0.4028206,0.48039767,0.46906033,-0.28451967,-0.09479604,-0.14904734,0.15577622,-0.11704999,0.01465226,0.12906921
AGS,0.302468,1.1082985,0.18354085,1.3302411,0.06387448,0.28590417,-1.0742171,-0.79370004,-0.694997,1.2640153,-1.0396526,-1.1712425,0.7441443,-0.5898391,-0.7901172,0.14569665,0.5829631,0.68028104,-0.032526255
SEM,-0.88371074,1.6094773,1.1399689,-1.5244141,1.1334046,5.186309,1.5896238,2.8688002,-1.7055345,-7.1144643,-0.4005217,4.415288,2.6899543,-2.558909,-1.6279819,6.2625475,-4.763,-1.750989,-0.61837214
SNU-213,-0.017986596,0.32409936,-0.5286011,0.53565645,0.46254933,0.48991257,-0.05592504,-0.6678297,-0.28005356,1.061194,-1.4051529,-1.3242443,0.34015584,-0.5267943,-0.8846164,-0.1299617,0.13353279,0.49413705,-0.10179023
HCC1359,0.3583182,-0.6738565,-0.22046617,-0.66042733,-0.3022795,-0.37353462,1.1263305,0.50106144,0.11654183,0.12916705,0.49780518,-0.014246242,-1.1506371,0.088862956,-0.015847817,0.047204435,-0.12655531,0.15995504,-0.2676915
1321N1,-0.06878343,-0.93744284,0.11036058,-1.0998391,-0.35601023,-0.6440511,1.4213545,0.69650066,0.17229526,-0.22750647,0.5879835,-0.049076714,-1.1259141,0.1284649,-0.37053007,-0.14799733,-0.13453564,-0.08124326,0.24912022
P31/FUJ,-0.7416924,1.0284775,0.45407283,-0.29875916,0.7739087,3.1108544,1.1979227,1.5385104,-1.824269,-4.3863716,-0.6705023,2.1876912,1.2783047,-1.3370229,-0.79010165,3.811469,-2.093132,-0.61236894,-0.7310477
SNU-410,0.06257811,-0.7752545,-0.094422445,-0.80599105,-0.027053565,-0.22013801,0.7236605,0.14529082,-0.0493672,0.0064815274,-0.071618125,-0.071263306,-0.5804275,-0.028359398,-0.27437785,-0.1674677,0.06110777,-0.05600229,-0.08294521
MHH-CALL-4,-1.1158323,1.9178278,1.7550263,-2.1638305,1.428797,8.036987,2.1289306,3.9305782,-2.0162692,-10.62136,-0.69731617,6.5803504,4.3983183,-3.9146283,-2.3197036,9.585144,-7.316046,-2.534964,-1.0499349
Daudi,-4.051816,1.2062607,1.6989679,-2.0713408,3.4342773,7.851432,4.162712,6.22052,-0.6596155,-13.595153,-1.8025019,7.5260715,3.2251709,-4.643734,-4.5863066,9.326956,-9.3760805,-2.7986119,-0.69490767
Hs 274.T,1.0690377,-1.3772994,-1.815845,0.8716604,0.16934526,-4.743096,2.082288,-0.2844546,1.1584567,3.2897427,1.351808,-3.9323127,-4.464801,0.87376267,0.57302254,-3.1498291,4.3075724,1.943255,-0.19294849
SK-N-MC,0.2560921,0.27820808,-0.35840842,0.8461757,0.3256535,-0.24800447,0.65395486,0.74696547,0.35582924,-0.1828119,0.4804207,-0.1543825,-0.31373453,-0.118580244,-0.05187658,-0.050101433,0.47808766,0.1606196,0.06200278
KYSE-510,0.45730492,0.21204197,-0.5372916,0.22028998,0.10137877,0.5024783,-0.30830592,-0.45058092,-0.3128109,0.31560475,-0.7848366,-0.23639868,0.5233359,-0.31630385,-0.2828126,0.437671,-0.10805632,0.049751338,-0.3046143
MOLM-6,0.060747772,1.469643,0.7322322,0.25236624,0.39344883,3.3564525,0.20754218,1.0566461,-2.1258974,-4.103927,-0.623862,1.9766206,1.9706624,-1.1177044,-0.004303366,4.0011764,-1.3774859,-0.6636764,-0.53260154
NUGC-3,-0.5287998,0.45546728,0.25164345,0.40985343,0.17774549,-0.12989682,-0.33305752,-0.65780836,-0.5351,0.66695464,-0.9879942,-0.92639637,0.3661697,-0.42421252,-0.42720345,-0.48691696,0.6215768,-0.3545034,0.41749483
NCI-H660,0.8348856,1.735822,0.20913614,3.1618004,1.0428712,-1.2422733,-0.42314503,0.14564109,1.2878411,0.5871901,-0.06641431,-1.6244774,0.479357,0.025989309,0.15629952,-0.684821,1.445122,0.9909061,-0.16261719
TCCSUP,0.45465317,-0.97412634,-0.18822564,-0.77044845,-0.15952295,-0.556646,1.2788081,0.48998955,0.13201317,0.15535474,0.50052875,-0.2642767,-1.0065401,0.1831001,-0.49045455,-0.2728465,-0.1268419,0.25234115,-0.53839016
HuH-1,-0.13928428,-0.13836524,-0.16277435,0.50293374,0.06739393,0.1221304,0.28674236,0.12972815,0.14634953,0.20091933,-0.62843263,-0.28198382,-0.15211906,-0.17219123,-0.63663757,0.16640674,-0.16680937,0.34393895,-0.005529344
Hs 834.T,0.98202074,-1.3803445,-1.5932796,0.92076397,0.23619822,-4.650215,2.0362568,-0.28305626,1.1141026,3.266951,1.0659747,-3.8360262,-4.2945895,0.66429263,0.38902628,-3.1182284,4.190396,1.761218,-0.016917527
NCI-H1975,-0.075626425,-0.73535156,-0.2866839,-0.57018316,-0.1465217,-0.18627708,0.6246221,0.053137064,-0.097065724,0.105611846,-0.42931932,-0.16000776,-0.36924383,-0.07964504,-0.633622,0.15511629,-0.33162424,-0.1080817,0.028145358
OVK18,0.3434494,0.009551391,0.015506215,0.1080074,0.065566644,0.07974833,-0.041106697,0.1026011,-0.30603933,0.25424543,0.0764353,-0.06410796,-0.19307536,-0.06732379,-0.07175551,0.05578929,0.12321612,0.2825988,0.24001798
SNU-182,-0.44840991,-0.67180806,0.25429264,-0.59697175,0.108531624,-0.9360802,1.0268576,0.04295616,-0.11163335,-0.011801079,0.10212332,-0.35922635,-0.8938828,0.23518091,-0.46893334,-0.36815566,0.21895713,0.11434032,0.51703066
NCI-H2342,0.11328997,1.5138543,0.15522724,1.583139,-0.023970544,-0.056595344,-1.2854133,-1.3366861,-0.5911219,1.6265223,-0.8640171,-1.742485,0.67484725,-0.27592152,-0.10499261,-0.5086177,1.3080411,0.36972487,0.24551983
PK-1,-0.14766333,0.0147501975,-0.40768605,0.27438974,0.31856453,0.89252687,0.023050502,-0.23985143,-0.47625846,0.2630716,-1.3852136,-0.5355906,0.61770505,-0.6337766,-0.8137573,0.0736417,-0.011528477,0.0345066,-0.372265
Hs 698.T,0.9354491,-1.4313936,-1.5563352,0.81268704,0.13018787,-4.549591,2.1256018,-0.04068251,1.234837,2.8844237,1.3424221,-3.5601976,-4.1957555,0.65320754,0.3045526,-2.8882284,3.8761392,1.5622367,-0.14416867
SNU-489,0.2854146,-1.4089234,-0.26129532,-1.1092793,-0.21283716,-1.4374266,1.8636909,0.49602517,0.411116,0.42210388,0.77701366,-0.5703286,-2.0920825,0.30646986,-0.52375,-0.68736935,0.2803597,0.27085447,-0.058283865
HSC-3,-0.12815088,-0.43094954,-0.07057874,0.10344893,0.26584497,-0.29141238,0.3004191,-0.064545296,-0.2192585,0.03816241,-0.569377,-0.35459942,-0.25288236,-0.4139502,-0.2570768,-0.2086915,0.36870506,-0.20011802,0.14195065
EN,0.08976197,-0.0013129711,0.038833454,-0.03838183,0.12433438,0.09985607,0.32571596,0.32797742,-0.32663465,-0.23480064,-0.06868607,0.111874826,-0.13662016,-0.0521824,-0.09862488,0.13424036,0.03866444,0.32216668,0.1579195
HCC366,-0.06453124,-0.47193477,0.016027236,-0.30223745,-0.1263928,-0.421199,0.53324896,-0.21716419,-0.1042308,0.35193104,-0.2739703,-0.5621139,-0.62328494,-0.067724586,-0.18366863,-0.21342245,0.5263351,-0.016082883,0.3572365
Ki-JK,-0.0076816976,0.4841864,0.14486584,-0.5354034,0.6075189,2.1215062,0.9730859,1.6104524,-0.661034,-3.0334477,-0.23423553,1.8658915,1.1580114,-0.7107346,-0.7477168,2.698343,-1.8698456,-0.24284378,-0.41489524
SNU-C2A,0.104971275,1.0722022,-0.07271986,0.9087069,0.24980211,0.23285018,-0.8713879,-0.8476351,-0.73865914,1.0424829,-1.0733579,-1.3007765,0.65132457,-0.5333831,-0.2614982,-0.13371328,0.7269883,0.35163563,0.1723896
NOMO-1,-0.92030996,0.8555627,0.6492242,-0.76364934,0.72746545,3.489407,0.9755362,1.3747866,-2.4201984,-4.2579746,-0.8238832,2.4207306,1.6381683,-1.1306276,-0.54263544,3.706562,-2.1029534,-0.85941184,-0.3564412
TUHR14TKB,0.037219435,-0.65790355,-0.39760536,-0.104715765,0.14313087,-1.4922501,0.69465137,-0.23740739,0.09413013,1.3301243,-0.36934894,-1.9144332,-1.3438964,0.35443026,-0.20633353,-1.3560282,1.2623558,0.90295625,0.44295907
PL-21,-0.66574717,0.95843005,0.5482923,-0.8754883,0.6622886,3.7992532,1.1273538,1.7344172,-2.537197,-5.072628,-0.66578084,2.98585,1.7294883,-1.4451016,-0.8515688,4.5292106,-2.654903,-1.0272261,-0.64047325
Hs 578T,0.48587513,-1.3649564,-0.77364886,-0.36168405,-0.08862275,-2.8075857,2.3225183,0.29161137,0.7236277,1.5068163,1.2089238,-2.0866082,-3.1059031,0.57523525,-0.31681627,-1.6916817,2.0398698,0.71316165,-0.19735083
TE 125.T,1.0256479,-1.1616126,-1.422026,0.8734353,0.13530432,-4.028437,1.8623533,0.1728693,1.0888475,2.4151998,1.2803121,-3.0795736,-3.8623285,0.6416304,0.38653064,-2.5644798,3.4840631,1.4936392,-0.25687614
CHL-1,-0.03458926,-0.102118865,0.5063286,-0.48688546,0.08092427,-0.6530612,0.6323322,-0.028979912,-0.46908528,-0.087281495,0.4316774,-0.27907482,-0.50280994,0.64456236,0.18287592,-0.11160212,0.30176657,-0.49700952,0.6622476
KOPN-8,-1.2944311,2.0275779,1.5148885,-2.1025624,1.7543513,7.575943,2.2008574,4.2653785,-1.7822433,-10.795555,-0.9163172,6.2456098,4.3531322,-3.8233485,-2.5631242,9.202321,-7.335844,-2.2198427,-1.1178094
OE33,-0.054735303,0.58283967,-0.09961741,0.6385918,0.1647091,0.5348254,-0.26463026,-0.50261927,-0.3831665,0.70560586,-1.1185201,-0.77872694,0.30597174,-0.5248699,-0.5963568,0.10793577,0.08898085,0.30056658,-0.14171194
HCC364,0.65958107,-0.6162154,-0.6360834,0.10178171,-0.09670836,-1.046108,0.78100467,-0.2302831,0.37188816,1.2725604,-0.16581205,-1.5826321,-1.2954587,0.3131767,0.0003318265,-0.91326153,0.94186324,0.91174155,0.09102676
CL-14,1.2417109,2.4974384,-0.41964966,3.2763762,0.41499645,-1.0732522,-2.1217747,-1.1683643,-0.37422642,2.7512245,-1.616869,-3.1034253,1.0502372,0.010575503,-0.33166498,-0.82098097,2.4435935,1.885359,0.12412898
OAW42,0.23403642,-0.19632429,-0.3714159,0.02808997,0.14005832,-0.4818644,-0.033248797,-0.5407821,-0.31729734,0.9410838,-0.4885819,-1.2768385,-0.5445014,0.054203317,0.13943262,-0.53422093,0.74189436,0.84119403,0.13685426
A-1207,0.29406995,-1.1131778,-0.2529643,-0.66071886,-0.3439386,-1.4737995,1.435751,0.29638356,0.24052455,0.852531,0.24120058,-0.9605725,-1.8345003,0.12918167,0.0048460485,-0.7393595,0.7718798,0.27402836,0.2024423
Hs 852.T,0.09975909,-1.1491683,0.20054403,-1.7111285,-0.18645832,-0.6826867,1.3005013,0.075431764,0.016227327,0.16185279,0.5291113,-0.07465718,-1.8555645,0.74794996,-0.33161968,-0.48703283,-0.55710346,-0.13531002,0.21574073
ACHN,-0.4366395,-0.5070009,0.08142507,-0.25977722,0.07037694,-1.121977,0.84326124,0.034022883,-0.2217345,0.7334455,-0.09825302,-1.3324018,-0.86682945,0.069318876,-0.075629935,-0.8323243,0.69252145,0.30367458,0.53412354
M059K,0.020807184,-1.2145447,-0.073336706,-0.8882706,-0.25056097,-1.3494902,1.948883,0.6388237,0.40004778,0.23922515,0.7096117,-0.6060288,-1.8276479,0.43096626,-0.4427349,-0.59161127,0.3608359,0.1232238,-0.17372923
COLO 800,-0.17879084,-1.3786194,0.2095134,-2.0217304,-0.118671685,-0.68741536,1.6059325,0.10161127,-0.014847614,0.25658247,0.2391165,0.0030285716,-1.984379,0.88543653,-0.4530362,-0.83656466,-0.62015957,-0.3379811,0.45594656
HT-55,1.4872894,2.616897,-0.058105335,3.7696786,0.2967164,-1.3259985,-1.8853624,-0.82068753,-0.0680933,2.536024,-1.2999878,-2.5998907,0.93434083,-0.1640529,-0.45913377,-0.5922893,2.3896396,1.8559198,0.07737991
TE-10,0.07707763,0.503117,-0.15606694,0.85931194,0.23668554,-0.3067966,-0.42496318,-0.6337218,-0.38215268,0.686571,-0.80080146,-1.1598277,0.1272489,-0.40440664,-0.16037759,-0.54006743,0.95989966,-0.16584104,0.28975207
Ku812,1.5080651,1.0661108,0.5441861,1.1226562,-0.17880338,1.9509141,-0.8794229,-0.35771325,-2.028245,-0.90154237,0.24512869,-0.10491538,0.91878986,-0.23155834,1.2380033,2.4358735,0.6402259,0.43423754,-0.35703713
SLR23,0.40254983,-0.8161502,-0.559297,0.07928264,-0.0369953,-1.7772908,0.8089284,-0.014752634,0.24250269,1.3542647,-0.16173372,-1.9709706,-1.563674,0.31300125,-0.08563592,-1.5016081,1.3009357,1.0771065,0.34083998
LN-319,0.6719762,-0.2928475,-0.34521872,0.526734,0.09596425,-1.9975812,0.556029,0.07457602,0.020264855,0.97021914,0.6086462,-1.4211231,-0.98121214,0.3519138,0.2536457,-0.9872028,1.4247403,0.39831528,-0.063225076
SU-DHL-1,-0.0012279749,0.5580491,0.348104,-0.38387355,0.6267083,2.0658808,0.6921144,1.415764,-0.6303542,-2.4750292,-0.17057888,1.7777572,0.7210386,-0.5400895,-0.5041032,2.4899063,-1.5520958,-0.08364467,-0.11202244
DK-MG,0.17316133,-1.3789566,-0.4833635,-0.45833045,0.039055973,-2.4677126,2.249113,0.6058624,0.7845924,0.8146396,1.4189861,-1.6944482,-2.7449527,0.4571815,-0.30285233,-1.4284179,1.2938673,0.26324326,0.026970148
DMS 79,1.0627471,2.7149363,0.21749759,4.428837,1.6171474,-2.2674084,-0.10043066,0.50589144,2.6402311,0.32837322,0.4169304,-2.4805799,0.51182336,-0.11780959,0.30585137,-1.1787041,2.6916578,1.35516,-0.47611597
L-1236,-0.8871894,1.3678908,0.9417343,-0.08424744,1.2152804,2.1538465,1.2640929,2.056822,-0.65162474,-3.948207,-0.36198896,1.9296,1.3384416,-0.85692143,-0.9434439,2.9869409,-2.1989994,-0.7401879,0.022907019
KYSE-140,-0.28193796,0.29343975,0.44107088,0.8216033,0.34568095,-1.1651118,-0.23859869,-0.64449775,-0.65731406,0.40007046,-0.40964672,-1.0933025,0.14381434,-0.3965276,0.22443926,-0.49017423,1.2827466,-0.639628,0.9487511
L3.3,0.20051146,0.19186263,-0.1805281,0.33736274,0.22479463,-0.1645653,-0.29275584,-0.5824401,-0.5832256,0.24621609,-0.6993095,-0.5161239,0.37655634,-0.3762941,-0.13576895,0.07471189,0.45070457,-0.17152601,-0.03820163
BJ1-hTERT,0.83961046,-1.0260977,-1.0581741,0.49785185,0.11779123,-3.8262024,1.8567243,-0.07806976,0.69130546,2.3980584,1.0309024,-3.1286144,-3.4468856,0.6283363,0.37780684,-2.5875354,3.2580173,1.2780473,0.11747274
HCC2218,0.7318796,1.3717107,0.03178796,1.8659754,0.045781165,0.25588658,-1.3453224,-1.087153,-0.60240555,1.815877,-0.9208345,-1.5427991,0.85106194,-0.47654766,-0.27287632,-0.2906608,1.0719566,0.8225433,-0.046598822
DEL,0.42960775,0.46889055,0.33491394,-0.7174102,0.29439443,1.5796573,0.534439,1.058682,-0.8555921,-1.7141745,-0.046029873,1.3907187,0.8372238,-0.41845876,-0.17744085,1.9500581,-1.3200127,-0.18201025,-0.35210523
NCI-H3255,-0.15028232,0.973765,0.062409285,1.2724938,-0.105603606,-0.41030198,-0.82280576,-1.4452595,-0.5799285,1.7981198,-1.4561498,-2.3067155,0.23853225,-0.3466112,-0.23699623,-0.9805265,1.3499562,0.10430822,0.6422587
C32 [Human melanoma],-0.054037005,-1.3293368,0.015055345,-2.014631,-0.11144673,-0.1447322,1.3907079,0.17814411,0.12375265,0.07175739,0.28353015,0.2363263,-1.8254628,0.96204036,-0.55678594,-0.4744203,-0.84158486,-0.10874826,0.10348626
PaTu 8988s,0.34294915,1.7914653,0.29005122,2.7873979,0.27215755,-0.27373016,-1.325121,-0.5837421,-0.3678399,1.3521612,-1.2462674,-1.6529467,0.7755046,-0.477529,-0.93314296,-0.24974063,1.1880431,0.80327135,-0.011763766
TGBC11TKB,0.30678383,1.2917554,0.32453093,1.4651117,0.021038547,-0.15091768,-1.0860294,-0.42526582,-0.45331222,1.1522202,-0.8703823,-1.0506696,0.8619436,-0.51630896,-0.42336088,0.15325603,0.94383067,0.51494527,0.058550924
JHOS-4,-0.27274364,0.46885532,0.020027071,0.7611743,0.50482786,0.047430262,-0.5747632,-0.87503076,-0.689649,0.5728537,-1.1026607,-0.9361502,0.40359616,-0.6062002,-0.39414394,-0.36242333,0.44459885,0.2063354,0.27355403
HuT 102,-1.1383849,1.3976946,1.4223595,-0.46099347,1.2208384,3.3407178,1.677505,2.9672086,-1.1482642,-6.0804677,-0.094135545,3.063877,2.276629,-1.4696074,-1.1592613,4.6746864,-3.4507198,-1.3755463,-0.42395136
HT-29,0.67376256,1.8344536,0.059308946,2.3066585,0.12659812,0.095470205,-0.96897423,-0.473638,-0.3265062,1.0587771,-1.4477141,-1.6211052,1.0987788,-0.24296989,-0.6871108,0.07733354,0.78351706,1.1735388,-0.32489067
OCI-Ly3,-2.991701,1.3412421,1.6896607,-1.1106771,2.154927,4.878512,2.3135452,4.353299,-0.8036938,-8.847243,-1.1885107,4.806386,2.4085002,-2.8169568,-3.0444188,6.1519747,-5.7182355,-2.2051253,-0.15541892
TE-8,0.22063428,-0.69161654,-0.26111776,0.040896952,-0.05352084,-1.6744796,0.71609855,-0.38904366,-0.071982116,0.69176257,0.030714668,-1.015313,-1.0800717,-0.11672789,0.12226621,-0.6180098,1.2816893,0.021353543,0.5025221
COLO 678,0.19972003,1.1185668,0.2875846,0.8682209,-0.21697837,1.0506964,-1.5188901,-1.1975412,-0.9888859,1.1308184,-1.4970376,-0.8962784,0.93616605,-0.5821229,-0.64925575,0.14668715,0.5931198,0.16100019,-0.06637761
EoL-1,-0.9169351,1.1457783,1.0084764,-0.9831903,0.8068549,4.3776965,1.1140237,2.1028106,-2.4154177,-5.6402817,-0.74733764,3.3025837,2.0694811,-1.5570412,-0.8352324,4.8278456,-2.9020965,-1.3531768,-0.18810084
42-MG-BA,-0.26601946,-1.1467028,0.44830832,-1.4031072,-0.3241257,-1.0574589,1.9397955,0.75790894,0.052323893,-0.097300276,0.62594616,0.074559614,-1.613256,0.32308978,-0.5993993,-0.41091144,-0.34486872,-0.3469907,0.36170152
K029AX,-0.36370417,-1.0499059,0.342726,-1.7401431,-0.0033019409,-0.40137964,1.1013186,0.09596538,-0.26396185,0.15273227,0.14943913,0.11164111,-1.3678194,0.9208864,-0.36957818,-0.47168377,-0.7656398,-0.33997095,0.27177888
SF295,-0.21259281,-1.1751473,0.04507934,-1.083291,-0.19493371,-0.7219636,1.5332768,0.55199105,0.16650048,-0.28018853,0.44970357,0.028948061,-1.2516972,0.23260123,-0.5590124,-0.0066714436,-0.28715816,-0.2087425,0.16570711
SU-DHL-5,-3.8787177,1.1936195,1.711657,-2.2026384,3.1305597,6.8173923,3.9550858,5.5675793,-0.5825958,-12.135997,-1.4997153,6.761278,2.881343,-3.9658742,-4.2181234,8.164363,-8.587102,-2.6373615,-0.019570664
LUDLU-1,0.20202415,0.4983703,-0.0039974675,0.7688983,0.16797276,0.0021210164,-0.57595253,-0.5493898,-0.8265099,0.30536786,-0.9564037,-0.72869086,0.5677163,-0.63355356,-0.08758442,0.080146864,0.7989489,-0.41574797,0.13272576
LS180,1.0780603,2.3920732,0.057292193,3.152679,0.404364,-0.6530944,-1.615535,-0.6189955,-0.16647479,1.9129152,-1.1215453,-2.176006,1.1376597,-0.21966936,-0.39204776,-0.34341282,1.8632512,1.4903387,-0.1735629
NCI-H1155,-0.36421654,0.38243973,-0.018279955,0.542766,0.8505734,0.18535534,1.1575665,1.1504071,0.41511983,-1.2506831,0.10785171,0.31026834,-0.46267813,0.09871134,-0.62505364,0.50920707,-0.2652995,0.3474588,0.21242604
NCI-H1105,0.49139106,2.3344033,0.38934377,3.9594483,1.6098408,-1.6165609,0.4604063,0.6275822,2.3531644,-0.33050442,0.34109545,-1.7151625,0.24494547,-0.25860575,0.16501644,-0.671873,2.0335488,1.2879862,-0.20354843
Karpas-299,-0.25081712,0.6544292,0.54907054,-0.69583637,0.59721875,2.4967465,0.96023315,1.826533,-1.2491091,-3.4683323,-0.26637638,2.2394638,1.2935517,-0.97298956,-0.65507495,3.0287213,-2.2344964,-0.8108001,-0.3105718
J82,0.035071485,-0.7510236,0.03339355,-0.79954016,-0.22825076,-0.4631301,0.975785,0.494103,-0.021803752,-0.3713837,0.22490963,0.1176125,-0.51267684,0.008258775,-0.3986277,0.046162266,-0.2899095,-0.022572972,0.017779045
SR,0.018336445,0.7136874,0.55235255,-0.67684215,0.5167646,2.5820136,0.88493526,1.6551956,-1.0050141,-3.2288818,-0.10174979,2.2131658,1.5452595,-0.90366673,-0.6726715,3.3927608,-2.2065392,-0.52189744,-0.4228814
SNU-283,1.3014904,3.0745347,-0.07385859,4.714446,0.4304375,-1.8161817,-2.4737554,-1.0837876,-0.098308355,3.206308,-1.4132068,-3.62914,1.0967079,-0.09567939,-0.62561935,-1.3096402,3.1282432,2.034393,0.18630394
