,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18
TOV-21G,0.056734018,-0.62440294,-0.23784953,-0.7480797,0.0008667372,-0.5692279,0.6100132,-0.17502686,-0.23588865,0.3850909,-0.18711857,-0.701148,-0.462739,0.08321266,-0.16784754,-0.4906323,0.2616406,0.44813794,0.08621164
JHUEM-3,-0.033583045,-0.4920798,-0.49132216,0.05411485,0.31524205,-1.0486321,0.7041307,-0.49879137,0.05827091,1.0049069,-0.60592717,-1.7165133,-0.9510906,0.26840648,-0.33155665,-0.88223004,0.9790268,0.4754063,-0.024422541
HCC1833,0.74979573,2.1597009,0.20907548,3.5607395,1.4742856,-1.3521318,0.04536012,0.9410714,1.2645285,0.21009338,-0.15305442,-1.697521,1.0635529,0.5949523,-0.4797699,-0.7528482,1.4760361,1.4485152,0.049994417
MV4-11,-0.2508955,1.2321765,0.6522967,-0.51419693,0.5333102,3.502574,0.6615898,1.2926116,-2.61559,-4.435834,-0.6019141,2.4665334,1.9289525,-1.1248338,-0.29654312,3.9558654,-1.8366475,-0.87636805,-0.250547
NALM-1,-1.0573378,1.961997,1.5700574,-1.8903006,1.1907878,7.237612,1.9335138,3.4600387,-1.9790295,-9.387779,-0.53886616,5.898901,4.0246096,-3.5071752,-2.0421088,8.632137,-6.3634768,-2.3077688,-0.97893
PK-59,0.22351335,0.24063936,-0.4432267,0.2326608,0.3816203,0.77328575,-0.2785148,-0.5324916,-0.3538863,0.690256,-1.3343408,-0.9371111,0.4259997,-0.5963453,-0.8737841,-0.2686783,0.30070928,0.24560818,-0.45902073
NCI-H82,0.535775,1.0453019,-0.19399427,1.7426655,0.9307056,-0.2898156,0.7481077,0.6982701,1.3140707,-0.66283345,0.21479037,-0.58329076,0.07818843,-0.08661127,-0.12979424,-0.0035998449,0.80611974,1.1762296,-0.34412178
GSS,0.28372484,0.970725,0.50350714,1.4294052,0.42812377,-0.4275759,-0.371814,-0.25256914,-0.024157822,0.5505932,-0.26292962,-0.7234206,0.12705205,0.0100108385,-0.030106932,0.032426924,0.8331046,0.15528409,0.20953335
HCC38,-0.08697617,0.07908217,-0.18364133,0.5064954,0.20303357,-1.0102735,0.05548057,-0.84567493,-0.35160246,0.8044171,-0.49505687,-1.1737051,-0.3500232,-0.45251063,-0.22228332,-0.7027453,1.0358336,-0.099029735,0.57134557
SCC-15,0.40091196,-0.355914,-0.61031735,0.3599035,0.44852585,-1.0557935,0.2626325,-0.45463246,-0.04418026,0.92717457,-0.6312037,-1.411082,-0.6165739,-0.26407003,-0.36903465,-0.7162482,1.1484251,0.27001283,-0.015755959
MDA-MB-134-VI,1.0798469,1.7548199,0.24912542,2.3700724,0.74407655,-0.04032689,-0.80961055,-0.030025393,0.40696496,0.7706145,-0.0032672435,-1.0621367,0.8080236,-0.33694696,0.16499025,-0.20077437,1.1259162,1.1452658,-0.2556628
NCI-H1618,0.7536229,1.9889004,-0.049527854,3.9112773,1.4527364,-1.6416593,-0.12356788,0.40033934,2.2276325,0.5180367,0.4538689,-1.9425358,0.28419548,0.040507957,0.36255723,-0.65253496,2.0638301,1.2564261,-0.45108736
HD-MY-Z,0.0067666788,-1.0327679,-0.13051844,-0.9671408,-0.3764627,-0.40867817,1.2453165,0.29363632,0.004688449,-0.17236343,0.35663098,0.16370873,-1.278186,0.05478376,-0.15565094,-0.049901932,-0.42297474,0.10349685,-0.02973418
COV434,0.060393706,0.15847403,0.08767578,0.9314967,0.3621235,-0.11311993,0.16131477,0.20679751,0.30851954,-0.035728123,-0.053829074,-0.31033036,-0.3658991,-0.21859783,-0.058710277,0.10800838,0.49848866,0.3462665,0.28270674
ECC10,0.69577575,1.4944414,0.30987456,2.5814753,0.7277315,-0.95499146,-0.031429958,0.3338399,1.0936077,0.37127107,0.18060012,-1.2868664,0.2483685,0.2475994,0.19737755,-0.26135516,1.6794546,1.0133432,-0.06880803
HARA [Human squamous cell lung carcinoma],0.06763801,0.2600072,-0.1518935,0.3341603,0.33719707,-0.19889228,-0.22147062,-0.29372472,-0.55317557,-0.04004714,-0.27304715,-0.39615804,0.34597808,-0.19910043,0.17999071,0.0337582,0.3674008,-0.049151313,0.33462888
