,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
PE/CA-PJ34 (clone C12),0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
ECC10,0.19059485,0.43516937,-0.45731387,0.50230193,0.02729661,0.86118597,-0.123848744,0.30358735,-0.18463239,0.30239376,-0.25037485,0.47343898,0.3447835,-0.2252927,-0.5060546,0.27022997,0.004696956,0.082839675,-0.09509136,0.009100093,-0.32308036,-0.2878739,-0.122887164,0.14695019,-0.05739294,-0.41578266,-0.24220723,0.14847338,-0.12566054,-0.23516268,0.59946805,0.045123864,-0.1768046,-0.029269008,-0.07607157,-0.10799554,0.28193182,1.0104815,-0.17543061,-0.00758453,-0.28935888,-0.31490266,-0.96482855,0.01073433,0.30395368,-0.6147478,0.092103146,0.021485502,-0.20750736,-0.16913727,0.039164346,0.56090623,-0.21014714,-0.4746813,0.33870643,-0.49762627,-0.6128757,-0.13745935,0.08104888,-0.11234682,-0.068856,-0.04019511,0.2573026,-0.46145645,0.22070383,-0.016557848,-0.2563435,0.277248,0.42810282,0.12063206,-0.16188185,-0.61204994,0.031701155,-0.4271695,-0.56502265,0.5635082,-0.060266666,0.05480995,-0.34628066,0.3910428
KYSE-180,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
Calu-3,0.10096371,1.2709724,-0.2152781,0.9316176,0.3519761,0.65493315,-0.8817627,0.45708972,0.71114343,0.11040658,-0.42180058,0.6679706,0.73525864,0.10861847,-0.5603506,1.3844284,-0.17436507,0.7086218,0.21636422,0.08054613,-0.63778484,-0.3417188,0.49909148,0.06698888,-0.6247134,-0.48666775,-1.6170461,0.052276745,0.07721842,-0.18314491,1.2538905,0.97372085,-0.14485282,0.311009,-0.38516492,-0.8426175,0.1746314,1.3061384,0.07896744,0.20269763,0.1494226,-0.9970083,-1.0157502,-0.44275314,0.3875218,0.2328676,-0.25203496,0.5433907,-1.2536871,0.061642997,-0.3320915,0.5445996,0.4587395,-0.5004878,0.54892105,-0.47624207,-1.2690163,-0.1397166,-0.02129726,0.024567852,-0.11887255,0.19118287,-0.8918973,-1.2852263,0.71802616,-0.07336701,-0.62971807,0.5787288,0.17572765,0.74565625,-0.23712623,-0.7617096,-0.23676014,-0.8279614,-0.6758571,0.93874824,-0.0022397635,0.21143173,-1.58893,-0.023293678
OPM-2,0.10096371,1.2709724,-0.2152781,0.9316176,0.3519761,0.65493315,-0.8817627,0.45708972,0.71114343,0.11040658,-0.42180058,0.6679706,0.73525864,0.10861847,-0.5603506,1.3844284,-0.17436507,0.7086218,0.21636422,0.08054613,-0.63778484,-0.3417188,0.49909148,0.06698888,-0.6247134,-0.48666775,-1.6170461,0.052276745,0.07721842,-0.18314491,1.2538905,0.97372085,-0.14485282,0.311009,-0.38516492,-0.8426175,0.1746314,1.3061384,0.07896744,0.20269763,0.1494226,-0.9970083,-1.0157502,-0.44275314,0.3875218,0.2328676,-0.25203496,0.5433907,-1.2536871,0.061642997,-0.3320915,0.5445996,0.4587395,-0.5004878,0.54892105,-0.47624207,-1.2690163,-0.1397166,-0.02129726,0.024567852,-0.11887255,0.19118287,-0.8918973,-1.2852263,0.71802616,-0.07336701,-0.62971807,0.5787288,0.17572765,0.74565625,-0.23712623,-0.7617096,-0.23676014,-0.8279614,-0.6758571,0.93874824,-0.0022397635,0.21143173,-1.58893,-0.023293678
COR-L47,0.1686639,0.99419814,-0.25576726,1.0598083,0.5846295,1.1434081,-0.668898,0.34199458,0.2154883,0.39811108,-0.40091282,0.51179904,0.48992103,-0.20327029,-0.716822,0.97442627,0.23107408,0.42515525,0.47872695,0.09925646,-0.9685839,-0.46235064,0.2505915,-0.2919294,-0.25497508,-0.41512114,-1.4179814,0.14546673,-0.018158276,-0.41436517,0.9641876,0.25313357,-0.09148141,0.14165351,-0.49675253,-0.63499725,0.35707507,1.402584,-0.2189143,-0.16277352,-0.22818138,-0.82837135,-0.9934653,-0.4123884,0.5486467,-0.030149896,-0.16669263,0.38061583,-1.0133547,-0.22690512,-0.02840777,0.5576899,0.28337297,-0.24074481,0.27905613,-0.3903092,-1.3382145,-0.023505492,-0.0072756885,0.045148157,-0.3600908,0.2520585,-0.56632185,-0.9931971,0.4262172,0.09280344,-0.81542706,0.28075698,0.39856052,0.6821041,-0.48431084,-0.63806725,-0.2937478,-0.7532211,-0.8580124,1.0317253,0.089110404,-0.030975914,-1.0723225,0.28202853
MUTZ-3,-0.29869324,1.0991529,-0.095159315,0.8850124,-1.574071,0.82692504,-3.7228744,1.1152653,0.78045404,-0.6496972,-2.4733233,0.10107515,3.078807,-2.4054322,-1.4505253,1.2120986,2.1297607,0.043899685,2.6336544,0.2833771,-1.5338082,0.49505794,2.4062634,0.61774474,-0.09984391,0.13962972,-2.0525024,0.8570149,0.830753,-0.5983026,-0.3103567,0.8279577,2.4580421,0.57773185,-1.0781763,-1.0195606,1.8907329,0.04374664,0.16773652,-0.018386547,1.1170366,-1.0330813,1.4527966,-0.67262983,2.0694008,0.32975835,-0.6200932,-0.6281954,-2.5180793,1.361726,1.4471232,0.42278817,-0.06872365,-3.0082562,-0.25541848,-0.0135712195,0.11649565,0.65005404,-1.9159906,-0.34949195,-0.64337385,1.3791875,-1.5163587,-2.93782,-0.16506565,0.28747287,1.273597,-1.0145127,0.11830327,1.0199039,0.15162225,0.7826226,-0.24265346,-0.48629972,0.06856514,1.9492769,1.3682427,0.6183665,-1.9969172,0.71735394
SNU-387,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
SNU-398,0.025240975,1.1316155,-0.8538011,0.91902924,-1.362351,1.3053108,-3.7009516,1.7512175,0.08335057,-0.33415177,-2.6805174,0.083184965,3.9149463,-2.3518045,-2.3653882,1.0019103,2.4635293,-0.3757529,2.404777,0.040920384,-1.5240084,0.47729632,2.6679232,0.8310964,0.29284105,-0.43134463,-1.9152931,1.3764899,0.48683771,-0.78164136,-0.50800097,0.5919493,2.4466567,0.7734212,-1.4506506,-1.4556016,2.0034091,0.5404257,-0.3650415,0.7040894,0.8537698,-1.1119827,0.91428167,-0.55871737,1.9612051,0.3588511,0.108845495,-0.6370083,-3.192457,1.7938722,2.1517646,0.83618754,-0.5723386,-3.3987617,0.09388175,-0.42887574,-0.2864169,0.35823274,-1.9312894,-0.6349905,-0.59293306,1.5776454,-1.0566612,-3.0369046,-0.24302946,0.04356635,0.96408975,-0.4382166,0.17791185,1.0468215,0.17559883,0.550756,0.1645813,-1.0200785,-0.17476556,1.7742023,2.0333166,0.633043,-2.2274554,1.3403618
SK-MES-1,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
Mino,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
Hep-G2/C3A,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
SW1417,-0.2015799,0.31967488,0.62141603,0.7020387,-0.2144913,0.41784954,-0.17624092,-0.7326634,0.56288785,0.14322554,0.18974125,0.8316693,-0.534298,-0.369652,0.6069433,0.40895727,-0.17843887,0.6482213,0.21476634,-0.10818957,-0.60734886,-0.4499789,-0.5332232,-0.26962644,-0.77313745,-0.06655001,-0.7346423,-0.35387233,0.11694325,-0.07312494,1.2297437,0.72213537,-0.19028966,-0.22582224,0.49626517,0.50975055,-0.30050156,0.48780876,0.5950804,-0.6290386,-0.23345177,-0.1382552,-0.27456972,0.09321743,0.42353082,-0.49579623,-0.7072132,0.22219989,0.13076945,-0.93336195,-0.7426782,0.28759357,0.8181211,-0.13822746,-0.021519696,-0.3105832,-0.53527564,0.12166848,0.14702697,0.08201405,0.11691795,-0.30944243,-0.5118396,-0.814291,-0.014273994,0.15714408,-0.1341425,-0.3191987,0.21121627,0.22094052,-0.41605625,-0.30748183,-0.4975494,0.016988812,-0.6798016,0.95278716,-0.84435225,0.09101007,-0.20894693,-0.05751184
PK-1,-0.12151678,0.26514918,0.37312168,0.42753658,-0.29230824,0.20962419,-0.2001139,-0.45887387,0.3530717,0.0748646,-0.13233884,0.58793694,-0.16294889,-0.1919213,0.26726308,0.25085324,-0.04775133,0.48244035,0.12800336,0.04189291,-0.25330117,-0.20018364,-0.26780272,-0.06721773,-0.43223366,0.035194788,-0.420195,-0.27431792,-0.052547492,0.02790635,0.70712084,0.542992,-0.31657258,-0.213488,0.35031924,0.20587602,-0.010247913,0.33004248,0.35398155,-0.47152317,-0.21677023,-0.2221591,-0.24342768,0.105149046,0.31741175,-0.550238,-0.4185939,0.2642717,0.17203207,-0.44494125,-0.5502638,0.09964783,0.47743142,-0.35588753,0.051894102,-0.007951127,-0.27556962,0.055780556,-0.08660066,-0.14842644,0.2519096,-0.112518564,-0.4039197,-0.46014717,0.20276737,-0.030502813,0.059583355,0.06415055,0.26159182,0.043562654,-0.22537321,-0.3423691,-0.30065078,0.12851608,-0.4690623,0.682172,-0.5419147,0.24717572,-0.21699128,-0.3203103
C2BBe1,0.19059485,0.43516937,-0.45731387,0.50230193,0.02729661,0.86118597,-0.123848744,0.30358735,-0.18463239,0.30239376,-0.25037485,0.47343898,0.3447835,-0.2252927,-0.5060546,0.27022997,0.004696956,0.082839675,-0.09509136,0.009100093,-0.32308036,-0.2878739,-0.122887164,0.14695019,-0.05739294,-0.41578266,-0.24220723,0.14847338,-0.12566054,-0.23516268,0.59946805,0.045123864,-0.1768046,-0.029269008,-0.07607157,-0.10799554,0.28193182,1.0104815,-0.17543061,-0.00758453,-0.28935888,-0.31490266,-0.96482855,0.01073433,0.30395368,-0.6147478,0.092103146,0.021485502,-0.20750736,-0.16913727,0.039164346,0.56090623,-0.21014714,-0.4746813,0.33870643,-0.49762627,-0.6128757,-0.13745935,0.08104888,-0.11234682,-0.068856,-0.04019511,0.2573026,-0.46145645,0.22070383,-0.016557848,-0.2563435,0.277248,0.42810282,0.12063206,-0.16188185,-0.61204994,0.031701155,-0.4271695,-0.56502265,0.5635082,-0.060266666,0.05480995,-0.34628066,0.3910428
SF767,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
PL45,-0.29869324,1.0991529,-0.095159315,0.8850124,-1.574071,0.82692504,-3.7228744,1.1152653,0.78045404,-0.6496972,-2.4733233,0.10107515,3.078807,-2.4054322,-1.4505253,1.2120986,2.1297607,0.043899685,2.6336544,0.2833771,-1.5338082,0.49505794,2.4062634,0.61774474,-0.09984391,0.13962972,-2.0525024,0.8570149,0.830753,-0.5983026,-0.3103567,0.8279577,2.4580421,0.57773185,-1.0781763,-1.0195606,1.8907329,0.04374664,0.16773652,-0.018386547,1.1170366,-1.0330813,1.4527966,-0.67262983,2.0694008,0.32975835,-0.6200932,-0.6281954,-2.5180793,1.361726,1.4471232,0.42278817,-0.06872365,-3.0082562,-0.25541848,-0.0135712195,0.11649565,0.65005404,-1.9159906,-0.34949195,-0.64337385,1.3791875,-1.5163587,-2.93782,-0.16506565,0.28747287,1.273597,-1.0145127,0.11830327,1.0199039,0.15162225,0.7826226,-0.24265346,-0.48629972,0.06856514,1.9492769,1.3682427,0.6183665,-1.9969172,0.71735394
HL-60,0.09938307,1.2495644,-1.0492592,0.7561874,-1.4355131,1.2649472,-3.6797557,1.9862158,0.14185894,-0.38596046,-2.7254758,-0.08290631,3.717232,-2.32977,-2.3554842,1.1110178,2.4032347,-0.4889835,2.3834088,0.27558818,-1.4334433,0.5793036,2.725135,0.95012695,0.4127406,-0.24283287,-1.7133723,1.3074906,0.570863,-0.72886646,-0.7194816,0.36581993,2.5748165,0.83956224,-1.4318368,-1.4415314,2.0573277,0.48572063,-0.4973566,0.6218484,1.0261023,-1.1220803,0.8449356,-0.76860964,1.8514937,0.28349152,0.1278816,-0.8025207,-3.0623083,1.8009795,2.1746206,0.6978952,-0.7287019,-3.2380974,0.060713965,-0.30239564,0.03060953,0.34144902,-1.879986,-0.5512146,-0.7357826,1.71015,-0.76946235,-2.8233702,-0.1864411,0.03362584,1.0876148,-0.68652713,0.11583,0.99522793,0.3441438,0.6140236,0.28291243,-0.8050402,0.00019934961,1.6975752,1.9957479,0.45870748,-2.085959,1.2628219
HuH-6 Clone 5,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
NUGC-2,0.27655935,0.41556063,-0.5809785,0.29871148,-0.15375027,0.6476461,-0.1569951,0.41207692,-0.28552338,0.33860114,-0.38449058,0.40395558,0.47547656,-0.11625921,-0.63769627,0.14977223,0.22572312,-0.05044285,-0.12224221,0.034103945,-0.15293649,-0.11593794,0.051068857,0.26516443,0.08035087,-0.34726778,-0.081064865,0.17615777,-0.31243744,-0.10265739,0.2979958,0.08085423,-0.19979809,0.048342396,-0.0033413062,-0.21609496,0.15634686,0.7720164,-0.31111145,0.16871172,-0.3077046,-0.31115806,-0.8512888,0.009169216,0.09950497,-0.5965047,0.32938093,0.08994638,-0.37219715,-0.0056878063,0.1772337,0.37475488,-0.18254702,-0.5857287,0.36802667,-0.2967758,-0.36145568,-0.2528245,-0.050596002,-0.3501491,0.15950091,0.2184439,0.34297678,-0.3456975,0.18139188,-0.28434977,-0.1263982,0.39213613,0.2591186,0.018886665,-0.032851633,-0.5109681,0.22491513,-0.19022457,-0.537428,0.43047032,0.08559096,0.08751666,-0.30603346,0.22515753
NCI-H522,0.36881185,0.5940021,-0.40003636,0.4028523,0.014754924,0.7770136,-0.20111693,0.22378713,-0.048053432,0.57055503,-0.36537132,0.4715718,0.4524857,-0.09344276,-0.2673649,0.24755034,0.1694999,-0.032778136,-0.20872499,-0.20162022,-0.32744727,-0.14519697,0.1409316,0.15322,-0.18488055,-0.6360133,-0.19251874,0.11739795,-0.35309908,0.082379155,0.5932263,0.3072733,-0.36554873,0.06517674,0.15460889,-0.03942959,0.39270464,1.0881852,-0.15265055,0.14191023,-0.43026057,-0.39017585,-1.173704,0.17073138,0.087364435,-0.7227833,0.0863989,0.13674302,-0.29419807,0.1935098,0.022742903,0.5424622,-0.030258887,-0.53384864,0.46145657,-0.47372115,-0.56247115,-0.42389634,-0.040643375,-0.2512879,0.079798155,0.18394351,0.15583381,-0.58381546,0.2846798,-0.20950983,-0.26112285,0.4891735,0.2619329,0.27580944,-0.08511844,-0.6169111,0.23438314,-0.26370838,-0.5637269,0.5388878,-0.048746847,0.039643206,-0.2281339,0.31647983
KYSE-450,-0.08765471,0.3963911,1.0239748,0.7363435,-0.28632095,0.22967415,-0.02410462,-1.0261756,0.57764065,0.30767414,0.122092746,1.1052985,-0.5529946,-0.2979056,0.6101107,0.23801845,-0.06545015,1.1110754,-0.09444964,-0.06655811,-0.8121283,-0.6929068,-0.46181437,-0.4533424,-0.59523165,0.058896404,-0.68163866,-0.18662216,-0.3900242,0.03033726,1.0345706,0.63640493,-0.25848046,-0.3964508,0.9321409,0.5770799,-0.84780353,-0.04919606,0.48107582,-0.784807,-0.58714473,-0.10714,-0.2747741,0.1803333,0.012626981,-0.81829077,-0.68140584,0.5136478,0.009775772,-0.8835651,-0.70515835,0.070674,1.1900802,-0.21939608,-0.10372406,0.23591928,-0.7047566,0.5347523,-0.15312985,0.09498981,0.6645223,0.047154922,-0.65305835,-0.50830346,-0.23459414,-0.059905425,-0.062469903,-0.5552997,0.2856803,0.44120622,-0.58717257,0.07524762,-0.47022143,0.6595777,-0.73737925,1.2067287,-0.8412948,0.29096797,-0.14098671,-0.5361942
RT-4,-0.043129254,1.464507,-0.8312216,1.0244179,-1.5429779,1.4287667,-3.787926,2.1349363,0.20062293,-0.44068086,-2.7086387,0.08420768,3.5466452,-2.2879384,-2.316618,0.7546544,2.5207858,-0.22964992,2.4218328,0.49992073,-0.9372263,0.40989614,2.6405747,1.0662155,0.22484264,-0.22170764,-1.6177803,1.2813972,0.50395054,-0.6652759,-0.7276888,0.008993902,2.337217,0.54751694,-1.6157569,-1.2928478,1.9718916,0.8280098,-0.22824252,0.53716534,0.8184609,-1.3350527,0.54287595,-0.85782194,1.7533242,0.4685823,-0.15766294,-1.2551388,-2.9059572,1.6746022,2.0963583,0.8051369,-0.61117965,-3.3851664,-0.0030108914,-0.25255418,-0.30866453,0.6241018,-1.9285553,-0.46935812,-0.7345829,1.6717144,-0.8457787,-2.9732616,-0.41696978,-0.2847314,0.93107045,-0.8690107,0.53353643,1.1444528,0.28038847,0.71929353,0.17266697,-0.8906131,-0.16286118,2.0365326,1.8663713,0.5376228,-2.0872593,1.3187144
Caki-1,-0.26483104,1.2303946,0.55569404,1.1938193,-1.5680838,0.84697497,-3.5468652,0.54796374,1.005023,-0.4168875,-2.2188919,0.6184373,2.6887617,-2.5114164,-1.1076776,1.1992638,2.1120617,0.6725346,2.4112015,0.17492606,-2.0926354,0.0023347992,2.2122514,0.23162004,-0.26284197,0.16333139,-2.3139455,0.94471055,0.4932764,-0.59587175,0.017092917,0.92137074,2.5161343,0.3947691,-0.49635467,-0.6483563,1.0531772,-0.3354919,0.29483065,-0.33167025,0.746662,-0.91806227,1.4214506,-0.5974456,1.7646159,0.06170542,-0.88290536,-0.37881935,-2.680335,0.9231023,1.2922285,0.3938144,0.643925,-2.8717642,-0.41103673,0.2302991,-0.31269157,1.1290257,-1.9825199,-0.10607557,-0.23076117,1.538861,-1.7654976,-2.9859765,-0.60242724,0.2580703,1.1515436,-1.633962,0.14239167,1.4175478,-0.21017729,1.2002393,-0.41222423,0.044761807,-0.19975188,2.4738336,1.0688624,0.6621587,-1.9209126,0.5014701
COLO 684,0.4197683,1.4048747,0.019604448,1.3631741,-0.37180403,1.4250035,-2.6984484,0.06780374,0.9329972,0.14247026,-1.126186,-0.030996732,1.8284783,-0.8145304,-1.77615,1.5926566,1.5212917,0.09369115,1.1067017,0.04842321,-1.9866908,-0.13012877,1.6632152,0.08971322,-0.25566596,-1.2125071,-2.4234958,0.72847605,0.30056274,-0.5091072,0.28455195,0.86151975,0.58167285,0.33831576,-1.1534538,-0.69005257,1.949266,0.99827224,-0.0992981,-0.22780624,0.42379433,-1.1257412,-0.6463247,-1.2936102,1.6939042,-0.05085447,-0.33987406,-0.15505496,-1.8459357,0.21820176,1.0488248,0.62503505,0.80998015,-1.6578027,0.12510031,0.043664362,-1.1997966,0.329674,-1.1776594,-0.34221366,-0.4369508,1.0833793,-1.7944403,-2.1970122,0.549307,0.59574515,-0.5849194,-0.5156787,-0.09307337,0.7106599,-0.7922607,-0.5136816,-0.10420917,-0.61138356,-0.8424698,1.6969256,0.69458413,0.26111132,-1.7379346,0.70151114
MOLT-13,0.35657674,0.44478717,-0.39434448,0.31295624,-0.05019255,0.8318258,-0.38641283,0.43785584,-0.25107488,0.22128543,-0.5573621,0.36967105,0.81861216,-0.047422897,-0.65546155,0.20037389,0.2171544,-0.30832812,-0.34103644,-0.21398377,0.21564272,-0.26061356,0.14695875,0.5316749,0.23825221,-0.6716039,-0.16741367,0.3117852,-0.25202808,-0.014332336,0.4745777,0.042249124,-0.25701153,0.036462832,0.019062947,-0.23477723,0.39410144,0.9296129,-0.29932362,0.2986271,-0.21155961,-0.39748856,-1.071955,0.34297073,0.1334463,-0.49572033,0.025825202,0.3249118,0.086692035,-0.01084243,0.14090092,0.50723696,-0.16257997,-0.8140881,0.39103636,-0.3137802,-0.4461401,0.018007824,-0.34082815,-0.36859354,0.2860755,0.057888653,0.16397887,-0.29292876,0.30773517,-0.024861244,0.017683612,0.2444836,0.31481448,-0.3596075,0.28637165,-0.73757845,0.17873202,-0.2191435,-0.51359296,0.36133844,0.10446334,0.1943726,-0.39129758,0.4159431
