target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,rna,KCNC1,0.0005165073739798296,IntegratedGradients
Erlotinib,0,,rna,PTPN6,0.0008910024516700117,IntegratedGradients
Erlotinib,0,,rna,PPP1R16B,0.00045522162598327364,IntegratedGradients
Erlotinib,0,,rna,ASAP2,0.00033421453686728137,IntegratedGradients
Erlotinib,0,,rna,PTPRF,0.0006915852628539242,IntegratedGradients
Erlotinib,0,,rna,TESPA1,0.00034082679329829486,IntegratedGradients
Erlotinib,0,,rna,TACSTD2,0.0007916341192058077,IntegratedGradients
Erlotinib,0,,rna,IRF8,0.000328697823660316,IntegratedGradients
Erlotinib,0,,rna,PLS1,0.00030192230294150244,IntegratedGradients
Erlotinib,0,,rna,GJB5,0.0010985965056686693,IntegratedGradients
Erlotinib,0,,rna,BSPRY,0.0007276185283433696,IntegratedGradients
Erlotinib,0,,rna,PPIC,0.0007678910530593341,IntegratedGradients
Erlotinib,0,,rna,FBN1,0.0008721197470099595,IntegratedGradients
Erlotinib,0,,rna,CCR7,0.0002215960317715434,IntegratedGradients
Erlotinib,0,,rna,TJP3,0.0007259037572013806,IntegratedGradients
Erlotinib,0,,rna,DCBLD2,0.0005020315579583332,IntegratedGradients
Erlotinib,0,,rna,CAPN2,0.0010045903753174977,IntegratedGradients
Erlotinib,0,,rna,ACTN1,0.000322622073157363,IntegratedGradients
Erlotinib,0,,rna,CD38,0.0004321763239562188,IntegratedGradients
Erlotinib,0,,rna,TINAGL1,0.0009524195297094568,IntegratedGradients
Erlotinib,0,,rna,CNKSR1,0.0005807030989565553,IntegratedGradients
Erlotinib,0,,rna,RRAS,0.0007374815695824594,IntegratedGradients
Erlotinib,0,,rna,EPHA1,0.0006051121394536988,IntegratedGradients
Erlotinib,0,,rna,LARP6,0.00045922015965334223,IntegratedGradients
Erlotinib,0,,rna,VAV1,0.0007718574908608637,IntegratedGradients
Erlotinib,0,,rna,COL6A2,0.0006010589547974646,IntegratedGradients
Erlotinib,0,,rna,SPARC,0.001395097470926821,IntegratedGradients
Erlotinib,0,,rna,SERPINE1,0.0007402861513047184,IntegratedGradients
Erlotinib,0,,rna,SELPLG,0.0004668430879598809,IntegratedGradients
Erlotinib,0,,rna,SGCD,0.0004547957284673659,IntegratedGradients
Erlotinib,0,,rna,TSPAN8,0.0003739233676633397,IntegratedGradients
Erlotinib,0,,rna,GPM6B,0.000667042482898165,IntegratedGradients
Erlotinib,0,,rna,COL1A1,0.0005239676897743988,IntegratedGradients
Erlotinib,0,,rna,GALNT3,0.0005806204952302312,IntegratedGradients
Erlotinib,0,,rna,IGLL1,0.00022962391072854147,IntegratedGradients
Erlotinib,0,,rna,CD28,0.0002790572520093632,IntegratedGradients
Erlotinib,0,,rna,CD86,0.00023757711109268436,IntegratedGradients
Erlotinib,0,,rna,MNDA,0.00038860719039039823,IntegratedGradients
Erlotinib,0,,rna,LAMB3,0.0004917731521297294,IntegratedGradients
Erlotinib,0,,rna,ITGAL,0.0005167436218431491,IntegratedGradients
Erlotinib,0,,rna,SNX7,0.0008558877996577548,IntegratedGradients
Erlotinib,0,,rna,SIT1,0.0003499722056307829,IntegratedGradients
Erlotinib,0,,rna,SERPINB5,0.0003721946267092037,IntegratedGradients
Erlotinib,0,,rna,MUC13,0.0002711069746177319,IntegratedGradients
Erlotinib,0,,rna,TMPRSS4,0.0009459254485095404,IntegratedGradients
Erlotinib,0,,rna,GALNT11,0.00044295216915126633,IntegratedGradients
Erlotinib,0,,rna,ITGB5,0.0007117648320026804,IntegratedGradients
Erlotinib,0,,rna,PCSK1,0.00030841221547340966,IntegratedGradients
Erlotinib,0,,rna,EPS8L2,0.0004147610684648991,IntegratedGradients
Erlotinib,0,,rna,LCN2,0.00046476551173559293,IntegratedGradients
Erlotinib,0,,rna,ATP2C2,0.0005602380932557103,IntegratedGradients
