,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
NCI-H2023,-10.620488,67.11977,48.410816,-26.399635,39.43816,21.900202,-58.1474,-52.838875,49.82551,-44.69506,-93.87969,-15.640623,22.262629,44.71155,59.433144,-51.90152,17.02387,54.937912,21.879244,-94.36921,17.466106,31.648628,-18.739538,-20.871527,-53.12008,-43.559917,-66.091194,65.942116,30.848763,44.99275,22.209738,-11.895712,-8.768513,-51.101006,-67.17309,-49.625256,-0.91095287
SK-LU-1,28.00984,106.96857,67.32719,-27.084654,103.2872,58.082634,-102.939,-5.503882,19.984558,-80.27288,-5.2456584,-29.520557,58.946007,75.29986,73.145805,-103.66426,-9.133997,58.818897,-44.909492,-110.980995,92.77981,14.138372,-23.185143,-26.131536,-69.774414,-86.67312,-97.33282,47.318264,41.841167,12.913009,44.083424,-0.4652776,5.388447,-106.70809,-119.93954,-121.631165,-70.9782
TIG-3 TD,117.81363,210.5704,178.80595,-34.607864,194.5291,169.8285,-220.31331,-12.8668995,3.8947082,-183.66156,55.10355,-71.81548,103.08342,128.45506,197.88553,-177.05225,90.84155,52.98687,-56.4887,-240.3819,160.63414,12.174998,-76.218216,-57.718143,-145.6174,-203.14655,-198.13097,89.802795,25.874557,-11.908418,66.351295,-57.15203,8.671619,-229.09183,-274.28876,-235.25581,-138.7967
IA-LM,10.444253,88.277725,70.39914,-31.59969,73.65027,38.227627,-81.52623,-21.336905,52.330616,-58.83903,-48.574024,-13.341475,36.12947,59.322674,74.79069,-77.9164,3.4595902,68.76992,-13.53697,-112.02114,57.520256,14.479195,-22.563179,-14.56327,-74.97922,-70.530136,-79.45654,51.337063,45.179497,32.599224,39.58996,-21.382814,-9.870018,-87.69596,-107.100235,-90.84658,-32.825203
Caki-2,-0.29371142,99.48781,69.65969,-13.183011,50.265873,62.816795,-82.84938,-59.429424,53.38917,-59.939903,-90.91958,-11.634412,42.524113,73.633644,80.61398,-71.01915,68.61545,58.97051,17.44417,-126.948235,23.086681,22.346996,-16.869385,-10.339932,-77.846924,-60.813507,-100.24691,98.27579,8.240488,44.083103,22.114555,-45.725494,-21.77862,-69.177216,-110.42824,-69.04601,6.979642
JHUEM-2,27.448824,82.031876,34.516407,-54.610176,71.319305,15.733447,-61.96977,-9.900054,3.895193,-90.00948,-21.693975,-46.51314,63.570614,38.74972,52.1524,-51.43887,-36.361042,61.067104,-24.259811,-78.48543,61.686203,13.168702,-47.249573,-45.73013,-32.222736,-81.34243,-93.25602,51.726654,12.862784,11.940822,67.21365,23.88434,19.922857,-64.659775,-104.402756,-104.59228,-63.18367
SNU-81,370.18164,1168.898,382.54373,-1152.0205,1190.4475,-76.08468,-1221.906,-1139.6296,691.5418,-1204.3457,-958.36255,-1242.6719,1155.2979,1050.649,730.7072,-1349.805,-907.2906,939.4278,-165.191,-1213.7649,1273.0765,1214.623,-955.80347,-1177.9977,-1198.8689,-991.7616,-1296.1879,1232.83,1193.305,793.5644,670.0946,742.14246,975.4625,-974.31476,-921.0927,-1034.3923,-871.45013
SU-DHL-4,75.99471,226.1556,-185.56332,-123.661064,380.1764,98.79696,-248.7897,15.605506,-59.141266,-435.6971,154.93568,-208.96097,365.31848,338.89908,-34.755016,-351.24265,-531.5435,127.26233,-220.61111,-27.387894,446.89362,416.3545,-185.27797,-302.65784,-123.39333,-279.31183,-264.04388,282.2094,380.3165,74.9201,22.257107,324.33795,362.49545,-194.47868,-119.60862,-301.58344,-373.1802
BCP-1,4.492277,111.69466,-109.8547,-21.417686,152.67563,37.61253,-109.011475,13.831153,-64.58909,-172.51888,77.154655,-76.57451,143.73996,149.78,-17.278275,-136.29893,-225.54863,60.64607,-133.7886,-1.8729141,158.98242,161.93427,-63.89866,-118.49767,-8.590841,-105.659294,-115.37435,98.00912,122.41825,2.0175633,11.336052,162.58882,130.32886,-98.24467,-30.402918,-159.51947,-175.15297
SNU-1197,-19.194689,114.1094,130.74709,-46.340816,77.497055,32.692856,-136.23344,-151.11356,159.68929,-88.94749,-213.57767,-37.735703,18.993519,141.3903,121.72903,-143.14459,20.252195,79.447464,55.29015,-191.67558,45.733997,140.2607,-50.690212,-66.21831,-166.1921,-84.05655,-110.15538,160.15588,154.3951,116.89288,-12.013125,-50.40687,7.4646635,-116.79153,-91.13942,-36.39391,10.638299
BICR 22,-35.226345,115.77401,141.10785,-42.038837,27.024414,-5.412529,-123.71131,-182.40121,154.23778,-93.90483,-272.64795,-41.247475,-3.9244447,141.70227,139.21764,-114.01304,48.11011,61.322372,92.79134,-206.37202,-5.0320406,172.56403,-63.89386,-66.36149,-167.30542,-79.49068,-101.73929,203.8517,143.8183,95.06753,-39.310894,-75.32241,1.7334371,-96.58956,-71.53466,3.1453345,29.824747
DMS 454,-0.9117238,95.76553,10.16162,-108.384224,76.9442,-65.86558,-67.50397,-65.84513,51.027813,-127.35787,-129.40007,-66.84632,88.009766,31.928057,34.27485,-46.588737,-139.85199,50.890045,-11.094939,-44.050747,63.13037,88.92953,-87.869125,-122.062126,-29.307846,-82.32424,-109.18697,115.42726,102.41446,82.586914,67.10913,110.25712,93.01849,-58.205967,-64.42034,-102.763374,-56.620575
KS-1 [Human glioblastoma],72.69945,163.80916,125.004265,-30.247297,141.46036,104.8389,-159.48248,-13.917797,13.990742,-132.6818,15.414291,-50.26129,82.760994,98.27119,146.09523,-131.44214,56.16652,60.883457,-41.95522,-182.31398,117.54184,4.713438,-50.65431,-32.29015,-108.73327,-147.64375,-153.38133,76.133896,16.032238,-1.3947728,60.611473,-35.04617,0.54591674,-165.13388,-208.7072,-171.49626,-101.43439
SNU-1077,33.673412,115.89979,113.60083,-20.9575,72.23991,74.37277,-118.35785,-94.90111,87.32355,-97.315636,-109.636086,-30.609785,28.56703,108.86959,116.65694,-96.99655,66.04617,45.40903,34.665154,-166.4864,39.121483,72.95702,-42.56506,-35.27013,-114.28577,-95.684,-105.60343,121.17803,60.064373,48.703472,-5.8417907,-60.23704,0.08943927,-107.455505,-127.14298,-63.90284,-12.783321
Hs 688(A).T,165.08981,268.1979,237.66037,-39.447426,250.80878,237.661,-290.57553,-16.102882,6.062403,-234.5374,83.47567,-86.33877,130.51308,169.15468,258.8762,-235.72336,135.25923,60.025417,-77.47625,-310.649,210.64201,24.597105,-103.17627,-65.88217,-200.78856,-261.827,-250.80165,120.42468,51.082035,-17.02685,70.30508,-89.488106,6.3580832,-295.6429,-346.61456,-298.84543,-170.97311
Hep-G2,-29.074005,169.76765,10.308105,-37.799603,135.8032,-7.249747,-121.69958,-82.7736,127.273346,-179.32198,-107.21712,-92.268,122.457,94.32315,126.624916,-150.0861,-58.20231,141.41408,-10.031837,-151.39406,72.01715,140.54817,-58.457138,-97.25787,-61.972103,-112.27905,-120.71033,186.42902,133.00613,30.713284,16.738037,105.453,99.41195,-123.73811,-120.146095,-78.66797,-59.511925
HCC1833,13.421192,108.45812,29.307789,-114.86102,86.72411,-39.80884,-96.987076,-99.250854,64.01966,-137.54114,-157.2719,-80.676125,84.19908,56.65554,50.243126,-65.04921,-119.66376,51.112373,9.183845,-71.87344,72.44371,109.224,-98.22802,-123.00594,-64.417465,-94.68167,-128.42776,129.19849,113.56249,110.39303,54.654743,90.07724,85.64456,-72.599846,-76.081215,-108.20321,-56.29125
COLO 668,12.776703,84.3019,-4.479649,-110.06729,74.43903,-55.30788,-67.16292,-64.10132,25.763502,-125.29033,-106.15965,-63.547447,82.0659,50.593533,11.5178585,-41.374287,-168.47554,29.347439,-17.140068,-18.099142,75.196,97.581795,-93.062904,-119.14547,-35.43218,-83.68,-105.85042,98.00039,106.93462,90.54083,54.90975,105.04081,93.821266,-51.540424,-51.99399,-104.94612,-72.11646
MEC-1,32.63138,210.63606,-190.74055,-73.65701,336.4339,102.4042,-226.40683,18.76297,-82.04725,-374.76593,156.5635,-172.51129,317.1443,323.97662,-43.93323,-321.2165,-470.38022,113.5298,-249.55249,-32.397907,384.25592,360.70303,-137.52292,-251.40562,-79.38376,-224.16519,-227.89516,232.29541,310.45612,29.652378,14.774714,307.61008,305.2853,-182.15799,-82.08456,-292.44598,-348.7794
SNU-1076,-15.883109,108.53567,139.3125,-30.66265,39.80022,21.947588,-121.66506,-156.89536,140.80179,-81.284386,-235.17679,-31.738731,-9.393397,134.30807,128.7831,-112.85071,50.48518,54.65639,76.77079,-193.42088,6.1356955,146.52075,-43.41986,-56.38441,-153.65274,-76.39827,-99.20387,168.68774,133.27809,92.266106,-39.742863,-75.52917,-8.147837,-101.73978,-76.54135,-8.89339,26.542883
HCC827,-23.852625,79.3737,67.41101,-16.477158,7.2786674,2.5342867,-68.040695,-107.865105,82.39901,-56.444862,-199.6753,-14.682099,11.444761,55.619007,94.72866,-29.244925,89.44888,53.147278,102.7421,-125.5183,-21.62927,70.88603,-46.562714,-15.887819,-96.471466,-54.636948,-91.85403,134.95587,25.366673,83.05215,8.346951,-54.298077,-14.937869,-34.674168,-77.09506,-17.676054,36.957188
L3.3,-21.974543,61.606068,76.20286,-36.918304,3.4021137,-28.764534,-61.84762,-111.05921,87.81495,-57.786377,-178.88403,-27.522766,-10.631737,70.22868,80.27681,-50.21882,9.7669525,38.39067,58.568634,-115.38253,-20.430027,101.33781,-40.325855,-42.73423,-82.901794,-44.464336,-55.03465,116.6345,82.10893,56.255867,-21.075558,-35.715816,-0.28821346,-47.838055,-28.694958,12.577008,17.371593
OUMS-23,9.874549,96.48288,72.62477,-58.263374,65.480385,7.4351363,-103.76098,-120.18389,95.9076,-110.25452,-146.7567,-70.548004,40.099796,90.6526,89.32665,-94.57281,-26.270443,76.19944,42.0601,-127.551735,41.506504,133.60709,-62.8563,-85.654594,-99.12878,-79.83634,-100.797775,135.54092,118.510925,74.18308,-5.26822,9.709847,38.224953,-79.90271,-61.60293,-37.809,-24.012144
LN-319,17.772505,83.91872,48.336437,-45.837746,56.75682,15.578496,-63.18026,-17.843822,-1.9753786,-80.20565,-40.69477,-32.128113,49.872444,43.50587,55.01359,-41.54697,-17.923195,42.374958,-24.981133,-84.161354,45.88212,14.025653,-38.349117,-44.50824,-32.848232,-77.15566,-101.46188,56.279438,2.8847752,15.126079,59.76311,5.1199384,7.3570848,-67.13589,-104.6315,-94.501884,-53.819347
COLO 680N,-2.9728444,102.70721,128.10057,-33.088627,29.092493,16.401346,-106.76968,-146.58556,126.49749,-75.26587,-225.72499,-31.588085,-6.125597,107.57234,123.31915,-87.06818,63.047783,58.528584,90.59787,-179.48007,-6.1361737,118.77897,-46.28357,-41.29681,-138.91289,-73.26662,-95.3142,152.89365,104.799126,83.46879,-26.056227,-76.6306,-14.121633,-85.59758,-82.929405,-9.177398,31.656
NOMO-1,49.205673,255.45583,-203.7959,-3.7329507,308.9694,172.94453,-270.28024,-38.72798,-123.43798,-330.83505,179.84598,-193.04901,273.11255,340.61737,-4.1664014,-324.7624,-405.3139,116.65479,-252.39192,-77.25983,316.794,307.17444,-115.00294,-230.31313,-44.972244,-189.25917,-188.81998,197.05359,222.87949,-36.4445,-19.914188,301.0611,268.1019,-233.02028,-94.7792,-314.45947,-351.00116
H4,49.215584,110.57591,82.65829,-14.065884,93.448654,72.31107,-107.42884,-1.2114424,-5.2282333,-88.572655,10.004372,-27.219307,44.377625,59.925423,98.67974,-81.033646,31.63015,38.957737,-33.975594,-117.870804,69.647194,-3.076927,-29.474455,-19.574385,-60.4812,-99.91828,-103.0745,40.547695,6.2042146,-7.128351,41.93597,-23.573599,-6.4177856,-114.53082,-139.92087,-124.46304,-71.99242
DND-41,23.956709,201.10663,-242.85745,-38.234623,293.24792,59.466908,-218.95863,11.02681,-116.28826,-284.41647,193.38628,-162.82907,262.2383,279.56702,-32.223793,-211.4818,-422.05557,130.13565,-238.14296,39.92727,290.8555,274.83713,-114.80654,-175.5099,-47.01158,-182.83012,-191.90709,143.54884,210.56631,5.427241,-8.950814,280.76318,248.8695,-191.93816,-64.9598,-289.57944,-322.52872
PrEC LH,14.389511,129.35352,126.73554,-24.965399,73.708145,54.508717,-131.05263,-111.60079,116.0599,-96.758705,-163.80487,-33.109676,28.027643,128.03224,125.6467,-123.357475,53.38176,68.64576,35.82514,-185.34915,41.170174,99.144135,-37.891148,-40.64091,-144.56366,-96.22734,-117.39864,148.22397,113.28467,72.8225,-10.396997,-61.814293,-5.0285797,-120.45866,-120.98772,-65.02403,-0.2551228
TE 159.T,148.08635,255.33308,234.8543,-33.51866,233.93105,228.39285,-274.2193,-9.732675,9.476283,-218.99965,74.5393,-76.80007,118.66701,162.7271,247.9506,-223.30699,132.5971,51.986443,-76.67564,-303.03488,196.06754,16.774605,-94.83052,-57.2089,-191.17747,-247.51134,-240.56105,109.48132,39.69812,-23.752428,67.896126,-93.07786,-3.6792006,-279.92,-330.95142,-284.164,-159.21931
UM-UC-3,3.0418794,59.609623,33.901993,-34.497364,61.6538,16.633778,-47.948322,15.840929,21.921133,-47.441826,-19.565388,-7.6046734,38.533245,34.283943,32.232048,-58.219505,-36.271355,61.254833,-38.30664,-63.528244,58.55924,-6.1420016,-11.390708,-13.805575,-28.512812,-52.414433,-60.282185,18.586178,28.254131,15.911657,52.440796,11.674894,-2.5436313,-59.112755,-76.549416,-87.776184,-43.512005
SF295,39.937687,120.95252,94.59078,-17.404575,104.711075,78.25968,-119.31623,-4.0462146,1.8790624,-89.30065,3.9232872,-29.303686,54.915737,72.71708,106.450035,-95.28482,47.372395,49.485676,-40.086018,-138.08725,82.90535,-4.822579,-28.07437,-20.725155,-75.72051,-106.36825,-118.2917,50.00726,-2.005484,2.8934748,55.378315,-30.748665,-10.844631,-126.43308,-158.33986,-137.02586,-70.9955
CMK-11-5,32.242073,243.64432,-194.1345,-22.081306,298.68463,103.62544,-250.73758,-2.2983289,-143.83572,-306.46454,170.05957,-182.07571,278.02167,281.9912,-13.762904,-278.64743,-369.0403,125.25982,-233.97058,-9.04748,300.67725,285.38074,-126.216934,-216.73373,-34.054676,-199.40727,-206.4261,193.37508,202.08586,-23.006517,16.086662,302.80447,262.19357,-231.60767,-77.235176,-283.91028,-326.74008
ABC-1,-7.6913486,61.54349,56.325665,-47.471752,17.662966,-12.982683,-63.9394,-110.99073,68.3185,-72.772606,-162.58434,-41.622375,12.715127,67.65467,64.44336,-36.714973,3.56299,50.65933,64.42647,-96.9429,2.7347944,110.0389,-54.008812,-59.823093,-77.689644,-51.21979,-79.69677,120.29312,67.98599,81.03156,0.6705835,-15.218921,13.224935,-36.518723,-39.829815,-15.630328,5.1808023
CFPAC-1,-12.735085,108.723045,132.7054,-34.269115,70.31824,49.737377,-125.34248,-135.06969,147.15837,-89.13466,-189.57426,-25.56611,13.894755,138.81053,116.7843,-131.25607,24.479753,56.893665,64.595215,-180.4467,36.583042,134.1345,-45.32292,-55.781773,-150.83586,-84.99493,-99.90744,147.61786,141.55733,102.59984,-27.058699,-55.929947,3.1740334,-113.744484,-86.02232,-31.083904,14.916373
KOPN-8,131.84322,282.50803,-214.37791,-83.6686,401.84467,149.97504,-307.62286,-29.765293,-80.58615,-425.45145,195.78577,-242.41924,350.34796,389.30154,-3.312236,-338.294,-509.38776,117.41955,-219.05042,-22.207043,431.5712,410.89966,-184.43797,-272.28387,-130.00946,-295.54434,-285.91702,257.13107,358.683,52.118866,-40.92015,324.09735,352.24942,-260.77533,-148.69102,-339.1701,-409.16498
NCI-H596,-15.7412,79.08136,94.29629,-16.616398,19.6089,19.1365,-75.385414,-86.017136,67.41489,-50.88504,-149.91295,-14.427542,0.09254897,70.63266,88.50308,-58.822056,55.179657,40.946136,46.49405,-133.39725,-2.8227744,60.615078,-23.433393,-20.60647,-89.68682,-51.59415,-79.58623,97.509636,44.414196,47.278927,-0.27304688,-55.079124,-25.056017,-61.38013,-71.741684,-27.572123,14.091622
U-937,43.97681,245.36081,-203.52748,10.523749,296.84793,165.5266,-258.75336,-24.939701,-128.12132,-309.97534,197.33073,-172.69034,259.12964,319.29593,-6.696107,-307.26447,-387.99008,117.63023,-252.0114,-64.06237,298.07935,278.1997,-99.73266,-209.00008,-26.90904,-176.16386,-170.27603,175.5421,202.44205,-53.228485,-24.853909,285.66348,248.80687,-230.28629,-88.07709,-301.31747,-338.82687
LN-428,44.555862,118.26068,86.23143,-12.043735,95.172356,82.288155,-113.60965,-17.72162,5.931464,-98.1588,0.17982863,-31.301798,48.44709,80.646576,99.15431,-93.23886,25.212967,37.37776,-33.60459,-131.79315,71.36453,13.716166,-26.923056,-28.833967,-64.93031,-100.20344,-110.28515,57.3055,12.504473,-1.7231228,33.451946,-20.28128,-2.680345,-116.20416,-139.27019,-120.27489,-71.6037
SNU-1214,-38.594353,102.951706,102.34917,-45.629406,12.35509,-38.58317,-99.72243,-154.59908,126.43472,-75.00617,-251.42078,-41.677593,-0.321079,102.26931,122.45009,-77.31391,51.295296,76.24606,70.806435,-171.49985,-16.208706,127.226295,-52.38091,-47.890545,-134.02498,-62.04001,-89.32125,181.99236,99.12756,78.77134,-17.831776,-65.12729,-6.433874,-74.3554,-69.58977,-0.2799182,30.297497
NCI-H1838,-20.554901,65.83963,62.993217,-24.261253,20.259817,7.5788727,-60.85793,-83.076935,75.61726,-52.816586,-147.97981,-15.498841,13.274174,52.021534,72.11464,-43.61712,36.037884,53.31522,63.88053,-107.16367,-4.132061,63.796856,-40.719868,-26.755219,-76.97419,-47.258335,-72.05332,102.080696,42.458706,68.32116,10.65591,-31.004753,-6.7893114,-43.235687,-60.125084,-24.458042,19.300299
SHP-77,25.60421,62.165245,-2.8585544,-110.37953,65.78817,-61.071423,-40.391624,-10.368189,-9.4600115,-101.656044,-60.099964,-43.38401,76.2102,12.203418,-9.260883,-18.667814,-173.66936,19.777708,-43.769173,1.3520683,78.217705,37.59635,-77.81014,-106.45839,1.3493712,-76.01652,-94.12142,50.524834,69.823944,64.29347,89.18977,103.88546,77.44737,-43.42521,-57.180252,-122.42355,-79.50274
OVMANA,-4.7383146,90.19323,65.09382,-23.721697,54.93589,58.26011,-84.24636,-91.92431,74.200645,-86.100426,-112.114784,-29.24067,36.003666,102.13227,61.040848,-93.74709,-9.526164,43.510204,19.70553,-120.851715,30.773287,95.973465,-37.07531,-52.998623,-77.31469,-57.105614,-83.24452,116.51113,78.13187,51.714878,-15.636667,-13.752305,15.560307,-67.70019,-56.252544,-41.96896,-6.344109
MPP 89,57.381855,110.498856,99.73595,-17.282253,104.77441,82.87391,-120.70679,-22.411457,27.457682,-91.537315,-5.1839113,-26.029076,35.97192,71.60971,111.65072,-99.684845,46.934082,47.41864,-21.558283,-140.26096,80.355644,8.633721,-24.913294,-24.504698,-82.77254,-105.64725,-101.27689,47.658012,36.477783,16.747438,27.17177,-41.1352,-8.2313,-130.2388,-150.99713,-120.3003,-56.23381
COV362,17.144428,84.6241,65.74835,-20.79762,65.81165,45.63966,-83.49011,-39.60604,43.47151,-63.808197,-50.309273,-19.01112,33.986748,69.30148,69.09408,-72.90513,18.318743,47.186695,-10.76517,-105.824684,48.317696,28.025803,-19.75181,-24.639767,-65.4434,-65.68191,-76.77989,63.19402,35.622414,31.262976,19.436298,-22.862371,0.32922068,-85.6926,-98.439514,-75.63053,-27.750824
OVK18,6.7542863,70.52398,-7.4511275,-63.440388,62.952103,-3.1101635,-44.71361,-17.155008,1.2241931,-92.81431,-32.73819,-48.442024,75.44106,45.333748,15.837453,-54.389656,-94.898735,66.33546,-37.663578,-48.598022,60.94339,45.71884,-47.656227,-67.847725,-13.847496,-64.57889,-82.86,65.290184,38.93884,21.962925,64.02681,63.984394,46.926502,-38.294495,-62.934986,-91.35004,-68.17892
ECC12,10.175101,108.62941,-4.0493026,-119.872,100.139175,-57.57835,-75.60663,-33.779667,29.15148,-136.98578,-92.61938,-67.88507,111.45379,36.572315,27.04998,-54.998096,-174.08595,60.663662,-46.764088,-34.27512,95.55795,63.329723,-89.19085,-125.28849,-15.30006,-100.54436,-122.88635,93.62532,98.667946,73.61452,96.34775,131.65967,102.22169,-78.398056,-92.12757,-150.345,-87.7043
BxPC-3,-19.756819,122.331535,139.77548,-38.31918,55.362938,17.742727,-138.57129,-173.96837,150.32237,-100.37109,-238.9362,-43.27231,5.436273,153.76584,136.4063,-136.23001,34.367615,69.24951,75.396324,-202.77374,20.012823,172.88757,-58.173325,-72.102585,-169.3673,-87.383194,-105.17447,191.6729,161.97548,102.12633,-39.574123,-63.493557,8.587174,-117.403595,-76.97535,-12.800207,16.081833
Hs 729.T,100.680725,176.8595,145.09135,-35.282757,169.14273,131.32008,-187.01837,-6.2454624,9.0468025,-155.86577,43.577183,-57.62315,85.08742,105.613205,168.44939,-146.48122,65.79637,48.282375,-47.515564,-198.77931,141.10739,5.1521697,-69.01538,-45.60842,-124.53471,-176.07776,-166.33772,69.022736,27.68711,-3.687923,61.012474,-45.762016,8.190014,-198.64586,-235.7307,-208.15092,-118.78785
Panc 03.27,-6.770778,91.78695,119.67921,-23.30601,53.7747,26.11756,-105.381645,-118.65195,133.61505,-67.87715,-178.51167,-14.779751,2.5943942,117.542946,106.136116,-105.18131,35.152077,53.810276,60.690796,-158.24701,23.939775,110.92684,-35.24457,-40.71659,-134.10913,-74.64606,-84.31015,129.90662,124.11603,95.39309,-23.224503,-60.8304,-3.1802423,-101.17516,-83.05944,-18.055267,22.99017
NCI-H1623,-11.016552,57.024998,69.908394,-42.14619,4.0152836,-7.2072854,-53.55169,-101.729256,70.40067,-59.632244,-165.21542,-25.09064,-3.2201908,54.621456,65.39282,-37.671173,6.610689,33.7703,71.68245,-96.96816,-14.82549,92.78446,-46.867916,-47.25328,-70.0026,-41.645794,-64.33465,106.61662,61.87315,66.519745,-10.909359,-24.855957,-1.0575645,-31.399137,-28.61493,-2.7158709,17.468918
SNU-1196,-1.7516241,81.604744,85.833466,-44.443592,48.24495,8.672619,-93.15419,-130.34366,127.26676,-81.884964,-176.7078,-35.634716,7.928531,102.454124,86.01517,-91.74493,-8.705123,60.15256,59.19231,-128.90971,23.73851,128.02115,-44.39357,-59.780964,-112.59422,-64.66728,-76.55989,133.20639,129.78876,99.97062,-26.287233,-29.205738,17.838026,-74.79941,-56.952896,-10.108863,12.781526
RCC4,11.724504,140.04327,79.89791,-6.140093,84.289566,95.12318,-121.76843,-69.22114,48.810326,-100.65325,-78.63905,-29.695196,68.88296,103.52941,110.152824,-104.54699,80.71947,63.509796,5.8001657,-160.57164,51.249374,38.445747,-28.745434,-20.92022,-94.62354,-90.51124,-129.18828,126.42228,12.286855,35.407486,22.295809,-41.376,-6.9526205,-100.52489,-148.50879,-100.9186,-19.173386
HT-55,-28.303972,105.53827,35.25498,-75.63288,101.8819,6.299015,-142.45831,-153.49158,119.25325,-130.11594,-163.73077,-96.5269,57.18732,119.40313,84.50625,-132.79141,-64.2622,104.546646,3.7748916,-125.356346,82.12583,179.18185,-69.30023,-117.49843,-118.43887,-73.82016,-112.07314,161.20161,158.39987,119.26986,-4.0716324,51.40638,64.84159,-94.129906,-45.010345,-70.01069,-42.19068
CAL-51,11.508234,74.52954,36.066254,-40.74295,50.695576,17.63582,-59.09851,-48.317524,42.297596,-77.510735,-72.161224,-35.2859,44.87906,53.3873,51.41029,-46.83418,-10.300165,56.774223,2.554163,-82.382835,33.726326,42.381657,-35.958305,-38.493088,-44.74996,-61.354652,-81.67725,79.30948,32.298008,37.330738,28.144382,4.7687,14.847793,-51.757774,-78.00029,-60.944626,-22.497665
NCI-H508,-21.170744,126.56338,51.615017,-73.08301,107.3983,19.262949,-160.34703,-176.45676,133.3829,-150.85593,-185.53163,-102.78835,55.991657,135.15404,103.71971,-148.80537,-62.220787,98.311005,24.593473,-147.94383,78.97982,200.84305,-80.93871,-125.603424,-132.49231,-86.59984,-118.05675,178.91661,178.35492,127.17156,-14.185703,49.135715,73.086136,-113.69893,-56.34876,-67.06769,-44.00997
Hs 751.T,136.02446,221.99323,202.6949,-33.013012,207.6557,191.61583,-238.62407,-4.504709,5.8193893,-197.62569,72.070305,-65.58766,103.13473,138.08743,218.46036,-194.25473,105.47126,39.535088,-67.10273,-258.70966,176.52805,13.305719,-85.471375,-56.3572,-159.55392,-221.39522,-207.10425,91.775665,43.341915,-18.48386,60.08515,-72.126,5.011498,-249.21265,-291.15652,-253.05042,-146.95479
DMS 273,11.176693,49.163025,-8.884561,-77.34156,47.53497,-44.233788,-21.362127,13.314957,-25.763878,-77.6959,-25.607273,-31.63258,58.950867,5.114985,-0.53651303,-12.422559,-114.63659,31.115263,-45.016094,-8.2027235,54.065403,14.339854,-51.811653,-70.024216,15.957021,-60.04122,-74.70481,29.484196,24.775055,23.891273,82.83536,74.812775,44.41195,-29.937016,-51.41145,-94.59773,-70.31972
MOLM-13,46.402264,254.92174,-216.76028,14.340163,308.89194,176.97784,-266.8604,-28.315104,-140.45496,-327.49445,208.76477,-184.92093,270.44107,343.0708,-7.72886,-321.28305,-414.50098,107.385956,-263.59918,-63.78066,313.8344,301.90698,-112.84208,-225.2167,-26.1022,-185.78146,-174.6832,186.7709,215.07889,-57.065918,-29.803993,306.61548,270.67603,-239.39763,-88.29542,-312.2897,-360.32498
RKO,-6.2554107,54.16626,-18.61422,-49.548916,65.6858,-9.492772,-43.6732,-12.053463,16.361053,-81.584404,-25.657719,-40.152225,66.82289,47.101543,10.209165,-63.55537,-101.04985,69.73646,-38.62083,-35.048386,72.45395,53.118217,-39.552876,-60.076447,-21.579544,-50.843052,-63.080505,58.363888,61.23015,30.331226,49.165897,67.91708,47.518726,-37.632328,-41.668312,-82.32399,-64.63091
BT-483,11.31064,86.09125,77.85738,-88.09548,35.67889,-12.926836,-76.490944,-122.850204,75.06606,-114.94572,-134.91272,-64.315834,26.294075,83.67263,75.04551,-54.60645,-78.27821,13.513906,59.418346,-100.62782,20.990715,141.11241,-97.6887,-88.48516,-77.17166,-78.35829,-80.83759,106.70282,90.32951,59.217194,-9.797693,28.754215,46.5097,-56.925446,-36.51081,-18.97779,-47.945595
MHH-CALL-3,161.5079,255.00858,-215.55711,-108.26745,352.55728,98.07581,-263.34946,-35.380302,-62.717068,-377.38074,159.9044,-232.463,313.32056,317.3533,4.6055346,-244.31653,-455.72043,107.9334,-141.40591,30.490234,381.1071,354.25732,-193.42302,-229.6623,-126.886154,-282.09766,-273.8807,222.89357,330.78537,89.84493,-34.71045,294.56293,322.73602,-225.8183,-151.51712,-305.1734,-360.31134
42-MG-BA,89.742714,170.83717,135.65662,-31.0641,154.5976,118.07586,-170.5327,-1.6438982,-0.9945413,-148.56245,39.644646,-53.74374,82.96551,99.384636,158.23521,-135.81793,59.246716,44.22638,-50.06214,-186.52432,125.40271,3.5926259,-63.317127,-37.11571,-109.639,-166.12843,-161.00227,65.90572,17.481873,-14.8205185,62.44614,-37.840412,3.5337603,-181.04956,-220.64291,-192.55386,-119.26362
OCI-AML-2,48.655693,269.54187,-222.32388,2.9328885,331.98093,193.0779,-286.80646,-29.74476,-142.7375,-356.17813,210.20068,-200.1227,292.3117,367.77884,-14.597893,-350.80988,-442.40314,118.75372,-282.2719,-84.122055,342.80438,321.49405,-118.37928,-247.68121,-34.843777,-200.24742,-196.25737,199.36263,231.98993,-55.42457,-17.208403,326.35895,288.01898,-249.50284,-101.67341,-345.32584,-389.38333
J82,29.358183,92.681786,71.620895,-12.350134,77.250595,55.068542,-90.195564,-19.091833,28.759367,-66.53903,-24.515053,-13.862668,29.107088,60.88154,79.81537,-75.22807,23.864964,46.480156,-14.024786,-107.28916,59.464573,10.673352,-15.117269,-13.431033,-63.030056,-79.03489,-81.840775,43.365,30.732544,19.354563,26.429276,-23.907135,-8.572851,-95.35348,-119.03774,-89.35715,-40.2632
