,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36
NCI-H1781,-20.171762,74.86782,80.2527,-49.030674,17.437428,-6.236462,-76.96784,-130.66293,82.451584,-86.51129,-186.84242,-45.994537,16.23766,79.80527,83.262856,-51.844646,4.3782606,29.654423,87.63211,-122.04125,-0.52487975,134.32617,-76.28098,-65.530045,-97.94413,-62.041004,-89.21788,132.81808,73.623634,79.22263,-5.0720253,-15.574744,22.28522,-40.788364,-40.815933,-7.4169197,-4.0952334
P31/FUJ,42.97204,256.36295,-223.94417,11.280217,317.0874,173.76007,-273.0771,-25.892073,-138.52333,-326.63907,207.8319,-185.05533,276.1093,344.6644,-12.910426,-325.31693,-416.2576,119.662094,-266.88528,-61.895798,322.1833,302.71902,-109.80189,-226.54932,-27.6804,-186.00038,-181.14304,187.60295,219.57158,-49.620754,-22.135965,311.4346,272.99963,-243.17007,-86.10684,-321.79016,-361.20554
SUP-T1,8.761269,143.13574,-199.03326,-27.975885,215.06526,27.033552,-149.73222,24.152632,-102.406746,-217.33467,153.29494,-116.69754,198.31593,202.54756,-40.348137,-144.1531,-344.8657,99.30241,-192.78285,50.97229,213.74602,206.47989,-87.33784,-138.99443,-13.408399,-134.3323,-145.27824,103.010605,153.80486,0.8419324,0.9870498,227.5905,190.07202,-134.32404,-35.457096,-223.07588,-248.83798
CAS-1,79.09792,158.62769,138.88081,-32.49982,142.21533,109.718216,-160.97993,-5.245415,-4.4914536,-132.49495,27.228678,-50.84921,80.13972,96.4802,147.89073,-129.21475,60.514687,41.848686,-52.221127,-180.27638,119.33834,-2.6332397,-53.480766,-41.088493,-102.61978,-151.28352,-157.31216,67.36504,0.3146427,-1.0954084,70.6893,-37.6748,0.6112212,-171.92603,-210.40205,-182.33179,-105.789665
HuNS1,30.282803,186.71817,-157.74326,-55.621887,290.62177,93.967384,-197.71793,16.948118,-72.424355,-319.6801,140.35387,-142.7614,267.24887,278.14835,-33.004196,-278.60736,-412.05307,80.88318,-218.16689,-29.980038,324.58057,302.10544,-115.660385,-217.32607,-56.53298,-191.17087,-190.22487,188.5057,260.88928,19.114603,5.648463,271.00763,261.10022,-170.70583,-67.08355,-255.36426,-305.51663
OC 315,6.3808613,63.111607,37.110058,-23.41669,39.968437,15.755069,-52.861004,-52.49307,68.63169,-47.28148,-86.581474,-4.036972,18.045189,45.24009,46.136505,-47.025913,5.230157,62.234985,16.479004,-79.53143,19.660883,28.2939,-12.57845,-13.823926,-49.790745,-40.33861,-48.917458,67.91673,45.292263,47.726486,12.157874,-17.670502,-0.7035744,-46.647945,-73.34121,-41.484337,5.069418
RERF-LC-KJ,-7.0917926,88.46624,102.15392,-43.421364,32.517426,24.912506,-92.236916,-135.12415,97.207184,-90.74317,-185.85912,-40.291267,9.008582,89.66813,100.43969,-71.851234,28.549435,38.771046,97.96373,-141.93358,0.62534344,134.89117,-68.340546,-60.929844,-109.643616,-70.38221,-92.927216,139.94513,91.31626,80.296364,-22.600874,-34.929787,7.285988,-61.307137,-52.109653,-8.9918995,9.261614
MKN1,8.866677,77.55703,73.191925,-18.43706,53.831844,32.99625,-75.09393,-40.739796,52.93809,-53.85235,-85.75348,-16.20332,15.658486,59.542927,74.21543,-69.239624,25.247599,54.32868,9.168552,-113.86773,28.510708,23.62085,-16.620142,-22.302063,-66.616165,-61.789948,-74.52519,65.76473,37.704033,33.94216,19.828894,-32.699417,-13.587733,-79.34403,-88.11963,-63.361103,-9.758045
SCC-25,-2.9249823,141.03105,141.98698,-27.080801,67.92879,28.29302,-144.8827,-128.34964,116.14571,-100.11406,-189.5,-37.31754,21.35105,137.32135,153.7902,-123.05002,75.5491,67.925804,39.489365,-204.9481,33.1067,115.874954,-48.78226,-40.68254,-161.99359,-104.326584,-118.96268,172.31999,106.958534,62.925564,-15.616358,-80.470314,-7.037299,-131.92706,-129.67531,-52.122726,-1.3199829
MHH-ES-1,32.60142,97.68478,11.277214,-62.588688,96.65494,15.721631,-81.78557,5.775959,-27.720589,-117.92263,16.259604,-56.19081,86.01056,54.16764,44.83771,-70.79289,-93.69226,54.135902,-69.72157,-61.645164,91.80165,29.580511,-65.889915,-70.05778,-21.274977,-98.55443,-105.184814,51.182476,28.622803,1.4199399,73.223976,65.76325,52.81111,-88.586784,-107.9454,-134.25357,-115.53645
